Sequence_identifier,_NormalizedVDWVC2,_PolarizabilityC2,_PolarizabilityC3,_ChargeC1,_PolarizabilityC1,_SecondaryStrC2,_SecondaryStrC3,_NormalizedVDWVC3,_SecondaryStrC1,_SolventAccessibilityC1,_SolventAccessibilityC2,_SolventAccessibilityC3,_NormalizedVDWVC1,_HydrophobicityC3,_HydrophobicityC1,_ChargeC3,_PolarityC2,_PolarityC1,_HydrophobicityC2,_PolarityC3,_ChargeC2
133,0.459,0.48,0.255,0.133,0.265,0.235,0.255,0.255,0.51,0.357,0.418,0.224,0.286,0.316,0.418,0.102,0.245,0.357,0.265,0.133,0.765
134,0.347,0.435,0.225,0.093,0.34,0.279,0.342,0.225,0.379,0.399,0.284,0.316,0.409,0.286,0.284,0.076,0.23,0.311,0.43,0.118,0.831
135,0.407,0.439,0.278,0.144,0.283,0.3,0.269,0.278,0.431,0.434,0.353,0.213,0.312,0.322,0.353,0.123,0.194,0.358,0.324,0.165,0.732
136,0.268,0.43,0.202,0.09,0.368,0.193,0.423,0.202,0.384,0.354,0.257,0.389,0.503,0.209,0.257,0.092,0.267,0.24,0.534,0.126,0.818
137,0.305,0.43,0.328,0.172,0.242,0.352,0.227,0.328,0.422,0.43,0.328,0.242,0.297,0.391,0.328,0.078,0.148,0.406,0.281,0.203,0.75
138,0.287,0.435,0.216,0.123,0.349,0.198,0.318,0.216,0.485,0.429,0.293,0.278,0.475,0.213,0.293,0.083,0.265,0.259,0.494,0.127,0.793
139,0.394,0.462,0.249,0.133,0.289,0.289,0.254,0.249,0.456,0.42,0.358,0.222,0.342,0.298,0.358,0.118,0.235,0.325,0.344,0.152,0.748
140,0.402,0.465,0.256,0.112,0.279,0.299,0.281,0.256,0.42,0.384,0.337,0.279,0.328,0.324,0.337,0.112,0.222,0.359,0.339,0.141,0.777
141,0.368,0.438,0.267,0.115,0.295,0.279,0.271,0.267,0.45,0.39,0.335,0.275,0.345,0.329,0.335,0.141,0.198,0.364,0.337,0.143,0.745
142,0.355,0.416,0.223,0.106,0.361,0.257,0.34,0.223,0.403,0.286,0.368,0.347,0.413,0.223,0.368,0.127,0.252,0.26,0.409,0.127,0.767
143,0.42,0.466,0.265,0.147,0.269,0.244,0.256,0.265,0.5,0.479,0.345,0.176,0.307,0.349,0.345,0.139,0.193,0.366,0.307,0.172,0.714
144,0.343,0.422,0.238,0.141,0.34,0.242,0.34,0.238,0.417,0.366,0.361,0.273,0.396,0.268,0.361,0.129,0.209,0.291,0.371,0.16,0.73
145,0.256,0.33,0.363,0.237,0.307,0.163,0.274,0.363,0.563,0.265,0.526,0.209,0.367,0.153,0.526,0.26,0.256,0.186,0.321,0.251,0.502
146,0.473,0.495,0.269,0.161,0.237,0.344,0.151,0.269,0.505,0.43,0.366,0.204,0.258,0.323,0.366,0.118,0.204,0.387,0.312,0.172,0.72
147,0.441,0.456,0.287,0.144,0.256,0.256,0.195,0.287,0.549,0.446,0.379,0.174,0.267,0.349,0.379,0.133,0.185,0.385,0.272,0.174,0.723
148,0.329,0.43,0.273,0.153,0.297,0.277,0.321,0.273,0.402,0.386,0.345,0.269,0.386,0.293,0.345,0.108,0.229,0.305,0.361,0.169,0.739
149,0.386,0.436,0.292,0.129,0.272,0.292,0.282,0.292,0.426,0.426,0.366,0.208,0.317,0.307,0.366,0.144,0.223,0.351,0.327,0.153,0.728
150,0.287,0.457,0.225,0.156,0.318,0.159,0.362,0.225,0.48,0.409,0.307,0.284,0.444,0.268,0.307,0.111,0.235,0.269,0.425,0.177,0.733
151,0.244,0.436,0.195,0.118,0.37,0.178,0.419,0.195,0.403,0.395,0.249,0.356,0.54,0.214,0.249,0.082,0.268,0.236,0.537,0.126,0.8
152,0.333,0.454,0.187,0.089,0.359,0.203,0.414,0.187,0.383,0.31,0.302,0.389,0.473,0.231,0.302,0.087,0.284,0.252,0.467,0.105,0.824
153,0.317,0.36,0.287,0.166,0.354,0.25,0.258,0.287,0.492,0.399,0.343,0.258,0.385,0.264,0.343,0.129,0.149,0.303,0.393,0.194,0.705
154,0.33,0.407,0.215,0.122,0.378,0.212,0.359,0.215,0.429,0.321,0.337,0.343,0.452,0.215,0.337,0.122,0.231,0.228,0.449,0.163,0.756
155,0.331,0.427,0.245,0.107,0.328,0.221,0.316,0.245,0.463,0.403,0.296,0.301,0.409,0.287,0.296,0.125,0.221,0.316,0.418,0.134,0.767
156,0.328,0.455,0.172,0.086,0.373,0.223,0.322,0.172,0.455,0.427,0.239,0.334,0.478,0.274,0.239,0.08,0.223,0.293,0.487,0.111,0.834
157,0.334,0.405,0.281,0.166,0.314,0.253,0.302,0.281,0.445,0.355,0.378,0.267,0.36,0.272,0.378,0.14,0.205,0.295,0.35,0.186,0.695
