ID,APAAC1_A,APAAC1_C,APAAC1_D,APAAC1_E,APAAC1_F,APAAC1_G,APAAC1_H,APAAC1_I,APAAC1_K,APAAC1_L,APAAC1_M,APAAC1_N,APAAC1_P,APAAC1_Q,APAAC1_R,APAAC1_S,APAAC1_T,APAAC1_V,APAAC1_W,APAAC1_Y,APAAC1_HB_lam1,APAAC1_HL_lam1,APAAC1_SC_lam1
Seq_34,8.0072,0.0,1.0009,5.0045,2.0018,7.0063,1.0009,4.0036,2.0018,6.0054,3.0027,6.0054,1.0009,8.0072,5.0045,7.0063,3.0027,3.0027,0.0,0.0,-0.0034,-0.006,0.0085
Seq_35,33.4202,5.8977,34.4031,16.7101,11.7954,42.2667,29.4884,15.7272,16.7101,33.4202,23.5907,17.693,48.1644,26.5396,17.693,41.2838,17.693,22.6078,2.9488,10.8124,0.0038,0.0059,0.0073
Seq_36,5.0234,1.0047,6.0281,7.0328,1.0047,1.0047,2.0094,5.0234,6.0281,10.0469,3.0141,5.0234,3.0141,3.0141,3.0141,4.0187,1.0047,5.0234,0.0,1.0047,-0.0043,0.0028,-0.0031
Seq_37,7.0516,0.0,7.0516,5.0368,3.0221,6.0442,0.0,4.0295,2.0147,9.0663,2.0147,2.0147,6.0442,1.0074,8.059,6.0442,5.0368,5.0368,0.0,1.0074,-0.009000000000000001,0.0011,0.0005
Seq_38,31.6532,3.9566,31.6532,16.8157,13.8483,29.6748,14.8374,26.7074,47.4798,36.599,7.9133,18.7941,19.7832,27.6965,27.6965,47.4798,39.5665,23.7399,10.8808,13.8483,0.0031,0.003,0.0047
Seq_39,28.0076,2.0005,10.0027,13.0035,5.0014,16.0043,6.0016,9.0024,3.0008,24.0065,5.0014,0.0,9.0024,7.0019,26.0071,10.0027,17.0046,18.0049,2.0005,5.0014,-0.0027,-0.0021,0.0045
Seq_40,10.9712,0.9974,12.966,23.9373,8.9765,14.9608,6.9817,10.9712,6.9817,19.9477,11.9686,4.9869,13.9634,6.9817,21.9425,8.9765,11.9686,21.9425,2.9922,4.9869,-0.0017,0.0044,-0.0
Seq_41,41.5342,9.8891,29.6673,50.4344,12.8558,29.6673,25.7117,28.6784,43.512,50.4344,9.8891,30.6562,50.4344,34.6118,29.6673,56.3679,36.5897,32.634,11.8669,13.8447,0.0028,0.0043,0.004
Seq_42,15.7969,0.0,3.9492,6.9111,4.9365,6.9111,1.9746,6.9111,15.7969,12.8349,0.9873,0.9873,4.9365,7.8984,16.7842,9.873,8.8857,5.9238,0.0,1.9746,0.0005,0.0027,0.0095
Seq_43,17.8003,1.9778,3.9556,6.9223,3.9556,6.9223,1.9778,6.9223,12.8558,11.8669,2.9667,0.9889,5.9334,7.9112,17.8003,4.9445,9.8891,5.9334,0.0,2.9667,0.0006,0.0027,0.0078
Seq_44,17.7885,0.9883,3.953,6.9178,3.953,6.9178,1.9765,6.9178,12.8473,11.859,2.9648,0.9883,5.9295,7.906,17.7885,5.9295,9.8825,5.9295,0.0,2.9648,0.0006,0.0031,0.008
Seq_45,17.7604,0.9867,3.9468,6.9068,3.9468,7.8935,1.9734,7.8935,12.827,11.8403,1.9734,0.9867,5.9201,7.8935,17.7604,5.9201,9.8669,4.9335,0.0,2.9601,0.0008,0.0028,0.0097
Seq_46,16.8161,1.9784,3.9567,6.9243,2.9676,6.9243,1.9784,6.9243,10.881,12.8594,1.9784,1.9784,5.9351,7.9135,17.8053,5.9351,10.881,5.9351,0.0,2.9676,0.0001,0.0026,0.0081
Seq_47,17.7879,1.9764,3.9529,6.9175,3.9529,5.9293,1.9764,6.9175,13.835,11.8586,2.9646,0.9882,5.9293,7.9057,17.7879,3.9529,9.8821,6.9175,0.0,2.9646,0.0014,0.0033,0.0072
Seq_48,28.0785,2.0056,14.0393,19.0533,8.0224,8.0224,17.0477,16.0449,19.0533,39.1094,2.0056,15.0421,17.0477,22.0617,24.0673,11.0309,12.0337,23.0645,5.014,8.0224,-0.0027,-0.0033,0.0032
Seq_49,24.4032,7.809,30.26,34.1645,10.7374,52.7109,29.2839,19.5226,31.2361,19.5226,7.809,7.809,22.451,14.6419,13.6658,22.451,23.4271,24.4032,1.9523,5.8568,0.0008,0.0068,0.0163
Seq_50,30.8522,11.9428,21.8951,25.876,15.9237,24.8808,5.9714,15.9237,17.9142,36.8236,5.9714,16.919,22.8903,12.938,20.8999,24.8808,21.8951,18.9094,5.9714,8.9571,-0.0002,0.0009,0.0041
Seq_51,20.7483,17.7843,19.7603,26.6764,15.8083,32.6045,7.9041,21.7364,26.6764,45.4488,13.8322,14.8202,43.4727,19.7603,23.7124,43.4727,30.6285,18.7723,0.988,11.8562,0.0037,0.0016,0.0067
Seq_52,5.8323,0.9721,4.8603,3.8882,0.9721,5.8323,0.0,5.8323,5.8323,8.7485,1.9441,1.9441,0.9721,3.8882,2.9162,5.8323,6.8044,5.8323,0.9721,1.9441,0.0096,0.0087,0.0096
Seq_53,21.5476,3.9178,8.8149,19.5888,2.9383,4.8972,1.9589,10.7738,9.7944,15.671,2.9383,8.8149,3.9178,17.6299,7.8355,16.6504,4.8972,7.8355,0.9794,0.9794,0.0046,0.0092,0.0067
Seq_54,48.708,17.8927,31.8093,47.714,23.857,30.8153,14.9106,40.7557,59.6424,53.6782,21.8689,31.8093,16.8987,34.7914,23.857,48.708,31.8093,37.7736,6.9583,20.8749,0.0001,0.0033,0.0025
Seq_55,10.3094,0.0,3.0928,7.2166,1.0309,6.1857,1.0309,7.2166,2.0619,7.2166,2.0619,5.1547,0.0,3.0928,8.2476,6.1857,4.1238,6.1857,0.0,0.0,-0.019,-0.0126,0.0006
Seq_56,69.1894,2.9653,22.7337,41.5136,15.8147,42.5021,6.9189,30.641,31.6294,42.5021,19.7684,12.8495,37.56,38.5484,18.78,34.5947,28.6642,41.5136,2.9653,10.8726,0.0014,0.0012,0.0089
Seq_57,35.0749,13.0278,32.0685,44.0941,29.062,30.0642,11.0235,30.0642,46.0984,42.0899,9.0193,35.0749,29.062,31.0663,25.0535,47.1006,34.0727,52.1113,17.0364,19.0407,-0.0014,-0.0012,0.0005
Seq_58,36.7246,3.9702,14.8884,27.7916,10.9181,22.8288,7.9405,20.8437,14.8884,24.8139,15.8809,13.8958,15.8809,9.9256,24.8139,16.8735,15.8809,23.8214,3.9702,11.9107,0.0043,0.0023,0.0008
Seq_59,57.3087,8.8927,81.0226,106.7127,46.4398,50.3921,21.7378,62.2491,117.5815,122.5219,19.7616,60.2729,40.5113,45.4517,60.2729,68.1775,48.4159,46.4398,12.845,38.5351,0.0017,0.0076,0.0026
Seq_60,4.9678,8.9421,0.9936,1.9871,4.9678,6.955,2.9807,14.9035,4.9678,9.9357,2.9807,11.9228,5.9614,5.9614,5.9614,9.9357,14.9035,7.9486,0.9936,3.9743,0.0036,0.0012,0.0016
Seq_61,19.1232,3.0195,8.0519,8.0519,9.0584,8.0519,4.0259,21.1362,16.1038,15.0973,5.0324,11.0713,9.0584,6.0389,12.0778,14.0908,8.0519,13.0843,0.0,9.0584,-0.0045,-0.0052,0.0031
Seq_62,3.9597,1.9799,2.9698,10.8892,4.9496,2.9698,3.9597,11.8791,13.859,9.8993,3.9597,13.859,2.9698,4.9496,7.9194,9.8993,5.9396,4.9496,0.9899,1.9799,0.0013,0.0101,-0.0012
Seq_63,40.3062,4.9154,16.7123,28.5092,9.8308,36.3739,13.7631,20.6446,20.6446,26.5431,13.7631,22.6108,15.7292,29.4923,21.6277,47.1877,22.6108,18.6785,1.9662,10.8138,-0.0002,0.0029,0.0141
Seq_64,12.0497,6.0248,20.0828,29.1201,21.087,16.0663,3.0124,24.0994,31.1284,21.087,8.0331,17.0704,7.029,8.0331,13.0538,14.058,5.0207,18.0745,3.0124,16.0663,-0.0034,0.0005,-0.0013
Seq_65,29.7179,10.8965,28.7273,37.6426,24.7649,30.7085,16.8401,7.9248,20.8025,37.6426,14.8589,10.8965,70.3323,34.6708,27.7367,35.6614,14.8589,21.7931,3.9624,24.7649,0.0045,0.0042,0.0007
Seq_66,21.8295,10.9147,26.7907,36.7132,24.8062,22.8217,15.876,12.8992,21.8295,26.7907,18.8527,18.8527,53.5814,29.7675,28.7752,38.6977,14.8837,19.845,3.969,24.8062,0.0048,0.004,-0.001
Seq_67,52.767,5.9736,31.8593,57.745,14.934,30.8637,21.9033,28.8725,43.8065,76.6614,19.9121,41.8153,57.745,74.6702,34.8461,59.7362,34.8461,44.8021,6.9692,18.9165,-0.0006,0.0023,0.0027
Seq_68,29.5488,12.8045,23.6391,32.5037,18.7143,34.4736,9.8496,20.6842,30.5338,35.4586,13.7895,20.6842,31.5187,22.6541,24.624,42.3533,32.5037,33.4887,5.9098,16.7443,0.0027,0.0078,0.0046
Seq_69,76.6337,8.8424,71.7213,89.406,26.5271,59.9315,20.6322,54.0366,156.2149,82.5286,27.5095,42.2468,48.1417,41.2643,48.1417,129.6878,56.0016,51.0891,7.8599,29.4745,0.0049,0.0106,0.002
Seq_70,37.4684,14.7902,47.3285,56.2026,35.4964,35.4964,18.7342,29.5803,62.1187,70.0068,22.6783,33.5244,31.5524,28.5943,26.6223,46.3425,30.5663,33.5244,11.8321,25.6363,0.0043,0.0062,0.0035
Seq_71,25.7114,2.9667,18.7891,14.8335,7.9112,34.6115,8.9001,18.7891,13.8446,21.7558,5.9334,11.8668,38.5671,18.7891,25.7114,44.5005,25.7114,28.6781,1.9778,16.8113,0.0007,-0.001,0.0114
Seq_72,16.0762,3.0143,23.1096,20.0953,12.0572,12.0572,6.0286,26.1238,36.1715,23.1096,9.0429,17.081,8.0381,4.0191,11.0524,24.1143,11.0524,19.0905,6.0286,19.0905,-0.003,-0.0015,-0.0002
Seq_73,32.7445,4.9613,35.7213,31.7523,16.8684,28.7755,12.8994,16.8684,26.791,58.5433,11.9071,14.8839,52.5897,22.8219,18.8529,69.4581,24.8065,32.7445,2.9768,7.9381,-0.0007,0.0011,0.0074
Seq_74,41.2752,18.6721,26.534,26.534,17.6894,50.1199,10.8102,21.6203,21.6203,44.2234,13.7584,21.6203,23.5858,28.4995,36.3615,51.1026,7.8619,23.5858,1.9655,11.7929,0.0013,0.0021,0.0138
Seq_75,34.5075,18.7326,17.7467,26.62,16.7608,45.3527,8.8733,19.7186,14.7889,32.5356,6.9015,14.7889,41.409,15.7748,31.5497,30.5638,20.7045,32.5356,7.8874,4.9296,0.0012,0.0017,0.0112
Seq_76,176.1882,25.5916,58.0732,48.2303,13.7801,119.0993,46.2617,43.3088,37.4031,169.2981,11.8115,26.5759,99.4134,125.005,70.869,65.9475,76.7747,128.9422,4.9215,3.9372,0.004,0.0003,0.0114
Seq_77,31.7121,7.928,29.7301,41.6221,25.766,29.7301,10.901,20.811,34.6851,55.4961,15.856,15.856,19.82,20.811,35.6761,34.6851,24.775,31.7121,6.937,10.901,0.0047,0.0024,0.0019
Seq_78,21.9242,2.9897,17.938,15.9449,13.9518,19.9311,6.9759,15.9449,9.9656,30.8932,7.9724,4.9828,16.9415,17.938,22.9208,11.9587,18.9346,11.9587,3.9862,13.9518,0.001,-0.0003,0.0027
Seq_79,15.7987,0.0,5.9245,12.8364,3.9497,14.8113,2.9623,1.9748,7.8993,5.9245,3.9497,2.9623,2.9623,3.9497,10.8616,15.7987,2.9623,5.9245,1.9748,5.9245,0.0034,0.0041,0.0051
Seq_80,25.0086,4.0014,5.0017,16.0055,9.0031,21.0072,8.0027,2.0007,6.0021,31.0106,3.001,3.001,18.0062,3.001,24.0082,8.0027,10.0034,13.0044,3.001,7.0024,-0.0021,0.002,-0.0002
Seq_81,46.5154,25.7319,43.5463,49.4845,39.5876,52.4535,18.8041,18.8041,49.4845,85.1133,14.8453,29.6907,51.4638,38.5979,37.6082,66.3092,36.6185,35.6288,9.8969,23.7525,0.0022,0.0032,0.0049
Seq_82,20.8739,1.988,17.8919,21.8679,15.9039,16.8979,4.97,22.8619,31.8078,46.7177,6.958,20.8739,51.6877,16.8979,8.9459,59.6396,28.8258,20.8739,3.976,7.952,-0.0019,0.0011,0.0068
Seq_83,28.7543,12.8899,20.8221,27.7628,16.856,31.7289,14.8729,19.8305,25.7797,47.5933,16.856,17.8475,34.7034,13.8814,24.7882,44.6187,23.7967,23.7967,1.9831,8.9237,0.003,0.0018,0.0037
Seq_84,47.8804,19.9502,57.8555,58.853,50.873,30.9228,20.9477,63.8406,61.8456,88.7783,13.9651,48.878,46.8829,42.8929,44.8879,96.7584,47.8804,45.8854,3.99,27.9303,-0.0014,0.0002,0.0037
Seq_85,24.9691,6.9913,32.9592,30.9617,20.974,22.9716,12.9839,25.9678,34.9567,49.9382,12.9839,37.953,13.9827,23.9703,34.9567,46.9419,20.974,21.9728,11.9852,13.9827,0.0004,0.0014,-0.0005
Seq_86,66.0932,6.0085,38.0537,59.0833,22.0311,51.072,18.0254,31.0438,24.0339,78.1101,24.0339,31.0438,20.0282,47.0664,60.0847,35.0494,33.0466,41.0579,13.0184,23.0325,-0.0036,0.0019,0.0003
Seq_87,18.9893,10.9938,12.9927,22.987,8.9949,13.9921,18.9893,12.9927,25.9853,24.9859,10.9938,16.9904,17.9898,22.987,13.9921,31.9819,27.9842,29.9831,7.9955,14.9915,-0.0003,-0.002,0.0028
Seq_88,4.9521,1.9808,5.9425,13.8658,0.9904,2.9712,0.0,10.8945,8.9137,18.8179,1.9808,9.9041,0.9904,8.9137,8.9137,8.9137,3.9617,9.9041,0.9904,4.9521,0.0057,0.0016,0.0023
Seq_89,16.976,5.9915,28.959,32.9534,23.9661,25.9633,7.9887,41.9406,30.9562,40.9421,10.9845,20.9703,13.9802,12.9816,18.9731,22.9675,26.9618,26.9618,2.9958,17.9746,0.0001,0.0003,0.001
Seq_90,13.8526,10.8842,35.621,25.7263,22.7578,36.6105,29.6842,23.7473,46.5052,61.3472,36.6105,216.6943,18.8,35.621,21.7684,103.8945,19.7894,19.7894,4.9474,19.7894,0.004,0.0028,0.0037
Seq_91,8.0045,4.0022,9.005,18.01,9.005,9.005,3.0017,18.01,13.0073,18.01,7.0039,10.0056,10.0056,11.0061,19.0106,19.0106,10.0056,10.0056,2.0011,7.0039,-0.0028,0.0009,0.0014
Seq_92,34.4057,4.9151,15.7283,29.4906,6.8811,28.5076,8.8472,20.6434,22.6094,24.5755,17.6943,17.6943,21.6264,27.5245,20.6434,31.4566,12.7792,8.8472,0.983,13.7623,0.003,0.0042,0.0098
Seq_93,13.6996,2.9356,4.8927,19.5709,4.8927,2.9356,1.9571,5.8713,13.6996,9.7855,2.9356,5.8713,0.9785,9.7855,8.8069,9.7855,7.8284,5.8713,0.0,2.9356,0.008,0.0114,0.0021
Seq_94,23.7426,9.8928,19.7855,29.6783,10.882,22.7533,11.8713,7.9142,19.7855,31.6568,11.8713,13.8499,44.5174,14.8391,25.7212,37.5925,21.7641,17.807,3.9571,8.9035,0.0002,0.0041,0.0063
Seq_95,22.7074,11.8473,16.7837,31.5929,12.8346,23.6947,10.8601,8.8855,23.6947,34.5547,9.8728,7.8982,37.5165,13.8219,23.6947,34.5547,22.7074,19.7455,2.9618,11.8473,0.0023,0.0047,0.0057
Seq_96,6.973,0.0,6.973,11.9538,4.9807,5.9769,2.9884,6.973,9.9615,16.9345,5.9769,6.973,0.9961,12.9499,6.973,8.9653,11.9538,3.9846,0.0,5.9769,0.0034,-0.0001,0.0006
Seq_97,8.019,0.0,7.0167,6.0143,4.0095,6.0143,2.0048,0.0,6.0143,14.0333,2.0048,0.0,1.0024,5.0119,5.0119,3.0071,1.0024,11.0262,0.0,0.0,-0.0102,-0.0018,0.0096
Seq_98,40.3898,26.5982,39.4047,76.8392,16.747,38.4196,32.5089,21.6726,64.0327,34.4791,22.6577,23.6428,49.2559,39.4047,44.3303,33.494,46.3005,47.2857,0.9851,17.7321,0.0055,0.0073,0.0021
Seq_99,39.32,32.439,45.218,57.014,14.745,33.422,18.677,21.626,45.218,43.252,12.779,13.762,50.133,39.32,69.793,41.286,21.626,22.609,6.881,15.728,0.0036,0.0079,0.0055
Seq_100,95.365,0.9934,34.7685,89.4047,30.7949,61.5899,10.9272,13.9074,24.8346,133.1136,13.9074,6.9537,47.6825,21.8545,81.4576,21.8545,34.7685,51.656,1.9868,27.8148,0.0009,0.0027,0.003
Seq_101,50.6419,13.9017,40.7121,69.5085,33.7613,30.7823,14.8947,52.6279,53.6208,77.4523,22.8385,59.5787,38.7262,32.7683,43.6911,94.333,59.5787,53.6208,10.9228,25.8174,0.0011,0.0035,0.0024
Seq_102,36.7381,4.9646,16.8797,29.7877,17.8726,27.8018,11.9151,23.8301,25.816,28.7947,9.9292,12.908,29.7877,24.823,19.8584,44.6815,19.8584,20.8514,5.9575,17.8726,0.0012,0.0017,0.0042
Seq_103,15.5664,0.0,2.9187,8.7561,1.9458,4.8645,2.9187,5.8374,7.7832,13.6206,4.8645,2.9187,3.8916,4.8645,4.8645,15.5664,2.9187,7.7832,0.0,2.9187,0.0088,0.0077,0.0107
Seq_104,18.0901,9.0451,8.0401,16.0801,5.025,6.03,9.0451,5.025,9.0451,19.0951,5.025,3.015,7.035,11.0551,10.0501,6.03,9.0451,13.0651,0.0,3.015,-0.0024,-0.0022,-0.0004
Seq_105,22.0269,12.0147,28.0342,26.0318,17.0208,24.0293,13.0159,12.0147,23.0281,36.044,9.011,23.0281,42.0513,24.0293,22.0269,42.0513,17.0208,16.0195,10.0122,18.022,-0.0011,-0.0008,0.0006
Seq_106,22.8819,11.9384,16.9127,37.8049,12.9333,19.8973,6.9641,18.9025,17.9076,38.7998,10.9435,17.9076,15.9179,8.9538,20.8922,27.8563,19.8973,17.9076,4.9743,9.9487,0.0008,0.0018,0.0025
Seq_107,36.252,8.8181,24.4946,18.6159,7.8383,21.5553,7.8383,6.8585,8.8181,26.4542,4.8989,8.8181,36.252,8.8181,24.4946,30.3733,12.7372,7.8383,0.9798,8.8181,0.0026,0.004,0.0137
Seq_108,20.7199,2.96,18.7466,48.3465,22.6933,18.7466,6.9066,31.5733,52.2932,42.4266,4.9333,16.7733,3.9467,8.88,24.6666,15.7866,12.8266,25.6533,0.9867,13.8133,0.0042,0.0083,0.0008
Seq_109,11.0899,0.0,5.0409,7.0572,1.0082,4.0327,1.0082,10.0818,7.0572,5.0409,2.0164,0.0,2.0164,0.0,8.0654,2.0164,2.0164,2.0164,0.0,0.0,-0.0105,-0.0002,0.0026
Seq_110,20.1031,1.0052,10.0515,24.1237,11.0567,16.0825,9.0464,25.1288,15.0773,37.1907,8.0412,12.0618,18.0928,14.0722,18.0928,19.0979,15.0773,18.0928,1.0052,13.067,-0.0052,0.0007,-0.0006
Seq_111,4.8872,0.9774,6.8421,13.6841,1.9549,6.8421,2.9323,4.8872,14.6616,29.3231,5.8646,3.9098,3.9098,8.7969,4.8872,8.7969,10.7518,2.9323,0.9774,5.8646,0.0094,0.0094,0.0038
Seq_112,30.7466,5.951,21.8202,22.812,7.9346,8.9264,9.9183,27.7711,25.7875,27.7711,7.9346,22.812,21.8202,29.7548,23.8038,37.6894,16.861,16.861,1.9837,3.9673,0.0007,0.0024,0.0051
Seq_113,32.2968,6.8508,8.8082,13.7017,7.8295,25.446,4.8935,5.8722,15.6591,18.5951,3.9148,7.8295,32.2968,12.723,15.6591,21.5312,13.7017,11.7443,3.9148,14.6804,0.0064,0.0054,0.0095
Seq_114,63.3715,22.7741,54.4599,81.1948,32.6759,55.4501,25.7447,52.4795,57.4304,140.6056,22.7741,37.6268,50.4992,38.617,72.2832,92.0868,47.5286,70.3028,9.9018,23.7643,0.0026,0.0042,0.0031
