CLASS,Molecular Weight,Aromaticity,Isoelectric Point,Gravy,Helix,Turn,Sheet,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
DNA,22742.9739,0.076530612,9.251809502,-0.354081633,0.316326531,0.18367346899999998,0.367346939,8.67,0.0,3.06,11.22,5.61,4.59,1.02,7.14,5.1,13.78,3.06,5.61,2.04,4.08,10.71,6.12,3.06,3.06,0.51,1.53
DNA,75875.0382,0.064655172,5.551771355,-0.551436782,0.245689655,0.310344828,0.199712644,5.46,1.29,5.03,4.89,4.02,8.19,1.87,4.45,3.88,7.61,2.01,6.03,9.2,8.48,4.17,7.61,7.33,6.03,0.29,2.16
DNA,34249.9817,0.10402684599999999,7.695738029,-0.44295302,0.308724832,0.197986577,0.214765101,4.03,0.67,7.05,7.05,5.7,6.38,2.01,8.05,9.73,6.38,4.03,3.69,4.03,3.02,4.7,5.7,7.05,6.04,0.67,4.03
DNA,58538.7924,0.076320939,5.379265022,-0.837377691,0.24853229,0.230919765,0.23483365899999997,4.11,1.37,8.22,8.81,3.52,5.68,2.54,5.28,8.41,7.44,3.13,5.68,3.33,3.91,5.28,8.41,6.26,4.5,1.57,2.54
DNA,14507.2764,0.07086614200000001,5.33890934,-0.526771654,0.275590551,0.212598425,0.330708661,7.87,0.79,3.94,13.39,4.72,3.15,1.57,5.51,8.66,7.87,3.94,6.3,1.57,3.15,5.51,10.24,2.36,7.09,0.0,2.36
DNA,16686.9753,0.10204081599999999,7.666693306,-0.349659864,0.299319728,0.265306122,0.19047619,6.12,2.72,8.16,2.04,4.08,4.08,2.04,8.16,5.44,8.16,2.72,4.76,10.2,3.4,5.44,7.48,5.44,3.4,2.04,4.08
DNA,11555.1779,0.009345794000000001,10.40205441,-0.479439252,0.224299065,0.25233644899999996,0.35514018700000005,12.15,0.0,0.93,10.28,0.93,9.35,1.87,4.67,7.48,10.28,2.8,2.8,3.74,4.67,10.28,9.35,1.87,6.54,0.0,0.0
DNA,68189.2088,0.099173554,6.071791267,-0.393884298,0.287603306,0.21157024800000002,0.294214876,9.42,2.31,5.12,7.77,5.62,5.29,2.48,3.31,6.61,10.74,1.49,5.29,2.48,4.46,4.96,8.1,5.45,4.79,1.82,2.48
DNA,17316.1219,0.04938271599999999,9.134541512,-0.991975309,0.160493827,0.290123457,0.240740741,11.11,0.0,6.79,8.64,2.47,11.11,0.62,5.56,13.58,1.85,2.47,3.7,5.56,3.09,4.32,8.64,4.32,3.7,0.62,1.85
DNA,81052.3327,0.102179837,7.318895531,-0.610354223,0.25068119899999997,0.282016349,0.194822888,8.31,0.82,5.86,3.27,4.09,8.17,2.72,3.95,4.77,6.13,1.77,6.27,7.63,5.45,4.36,6.13,9.4,4.77,2.18,3.95
DNA,80341.8706,0.105914718,8.076099586,-0.590784044,0.262723521,0.30123796399999997,0.18844566699999998,7.43,0.55,5.5,3.71,4.54,8.8,2.06,4.26,5.09,5.78,1.93,7.7,8.39,4.4,4.4,5.23,8.53,5.64,2.06,3.99
DNA,61138.9792,0.078711986,9.140279198,-0.450805009,0.255813953,0.31663685199999997,0.22540250399999998,6.08,4.11,4.29,5.01,3.22,10.2,2.68,1.61,4.29,10.55,0.89,1.25,9.66,3.4,8.41,10.55,3.58,5.55,2.15,2.5
DNA,7757.5892,0.027777778,8.363499641,-0.506944444,0.208333333,0.291666667,0.305555556,11.11,0.0,1.39,6.94,2.78,9.72,1.39,5.56,2.78,8.33,4.17,8.33,1.39,11.11,6.94,9.72,4.17,4.17,0.0,0.0
DNA,51789.4892,0.054507337999999995,5.918837547000001,-0.604612159,0.20754717,0.318658281,0.22851153,7.13,1.26,7.34,3.56,2.52,9.01,6.29,3.35,3.56,7.13,5.03,3.77,10.27,5.66,3.77,8.81,3.77,4.82,0.63,2.31
DNA,8232.4042,0.027777778,4.995374489,-0.356944444,0.305555556,0.180555556,0.347222222,6.94,1.39,8.33,9.72,1.39,1.39,2.78,6.94,8.33,13.89,4.17,6.94,4.17,4.17,4.17,5.56,1.39,6.94,0.0,1.39
DNA,8615.6797,0.050632910999999996,4.953540993,-0.251898734,0.278481013,0.253164557,0.291139241,8.86,0.0,8.86,6.33,3.8,7.59,0.0,5.06,2.53,11.39,2.53,2.53,7.59,1.27,10.13,7.59,6.33,6.33,0.0,1.27
DNA,55862.6157,0.078629032,9.753953743,-0.707258065,0.256048387,0.235887097,0.18951612899999998,6.45,0.81,6.45,3.43,2.82,6.05,3.02,5.44,9.68,7.46,1.61,3.83,4.03,5.65,5.65,9.68,8.06,4.84,2.22,2.82
DNA,23684.0141,0.055813953,9.803465462,-0.073023256,0.293023256,0.162790698,0.325581395,13.02,0.93,4.65,6.05,2.33,7.44,2.79,4.19,1.4,11.16,2.33,0.0,4.19,3.26,12.09,4.65,7.91,8.37,0.93,2.33
DNA,26433.0756,0.074235808,5.458043861,-0.372052402,0.305676856,0.187772926,0.292576419,4.8,0.44,5.68,10.48,3.93,6.55,3.06,4.8,3.06,8.73,5.24,2.18,6.11,3.06,9.61,3.93,5.24,9.61,1.31,2.18
DNA,71421.3873,0.061320755,6.445564461,-0.753930818,0.23899371100000003,0.26572327,0.242138365,6.6,1.57,4.72,8.02,2.04,4.72,4.09,4.56,6.92,8.02,1.57,4.87,8.02,5.5,4.72,8.96,5.82,5.19,1.89,2.2
DNA,15355.7304,0.051470588,11.43496685,-0.677941176,0.242647059,0.16911764699999998,0.272058824,11.76,0.0,2.94,5.15,3.68,5.15,1.47,5.15,11.76,9.56,0.74,0.74,3.68,5.88,12.5,7.35,6.62,4.41,0.0,1.47
DNA,15403.9072,0.051470588,11.12693691,-0.579411765,0.235294118,0.139705882,0.294117647,13.24,1.47,2.94,5.15,2.94,5.15,1.47,5.15,9.56,8.82,2.21,0.74,4.41,5.88,13.24,3.68,7.35,4.41,0.0,2.21
DNA,15387.8416,0.051470588,11.26934757,-0.603676471,0.235294118,0.147058824,0.294117647,13.24,0.74,2.94,5.15,2.94,5.15,1.47,5.15,9.56,8.82,2.21,0.74,4.41,5.88,13.24,4.41,7.35,4.41,0.0,2.21
DNA,15327.7235,0.051470588,11.26934757,-0.618382353,0.235294118,0.154411765,0.28676470600000004,13.24,0.74,2.94,5.15,2.94,5.88,1.47,5.88,9.56,8.82,1.47,0.74,4.41,5.88,13.24,4.41,7.35,3.68,0.0,2.21
DNA,15213.5563,0.04444444400000001,11.10527554,-0.582962963,0.237037037,0.15555555599999998,0.288888889,12.59,1.48,2.96,5.19,2.22,5.19,1.48,5.19,8.15,9.63,1.48,1.48,4.44,5.93,13.33,4.44,8.15,4.44,0.0,2.22
DNA,15487.0819,0.051470588,11.13705845,-0.568382353,0.242647059,0.125,0.294117647,13.24,1.47,2.94,5.15,2.94,4.41,1.47,5.15,10.29,8.82,2.21,0.74,4.41,5.88,13.24,2.94,7.35,5.15,0.0,2.21
DNA,35782.7163,0.067961165,9.572152901,-0.471197411,0.32038835,0.165048544,0.284789644,9.06,0.65,4.53,6.15,2.59,2.59,5.5,5.18,6.15,12.62,0.65,4.85,5.5,7.12,7.77,3.56,3.88,7.44,1.62,2.59
DNA,44712.0657,0.04589372,5.801976585,-0.764492754,0.202898551,0.260869565,0.21256038600000002,6.04,1.93,7.49,8.45,2.66,13.04,7.25,4.83,7.73,4.83,1.93,1.93,5.56,3.62,3.38,5.56,5.8,6.04,0.48,1.45
DNA,41033.0597,0.083783784,5.331861305,-0.329189189,0.278378378,0.243243243,0.27027027,8.38,3.24,5.95,7.03,4.32,6.76,1.62,4.32,4.86,10.0,1.62,4.59,6.22,3.51,5.68,6.76,5.95,5.14,1.62,2.43
DNA,50770.7984,0.062770563,8.205874442999999,-0.379004329,0.25108225100000003,0.294372294,0.233766234,4.55,3.9,4.33,5.84,3.46,7.14,1.73,4.76,5.84,9.96,3.03,3.25,9.52,4.33,5.19,9.52,6.71,4.11,0.22,2.6
DNA,8501.7177,0.051282050999999995,6.138349723999999,-0.003846154,0.320512821,0.192307692,0.269230769,7.69,1.28,6.41,5.13,1.28,7.69,0.0,7.69,7.69,11.54,2.56,2.56,1.28,5.13,3.85,7.69,8.97,7.69,1.28,2.56
DNA,19443.4501,0.028409091,4.686284065,-0.553977273,0.22727272699999998,0.198863636,0.346590909,12.5,2.27,5.11,11.36,1.7,2.84,1.14,6.25,5.68,9.09,1.7,5.11,2.27,10.23,4.55,9.66,2.84,4.55,0.57,0.57
DNA,73456.5638,0.080123267,8.125288963,-0.381818182,0.285053929,0.198767334,0.266563945,7.55,2.77,4.93,7.4,3.7,4.78,2.31,6.32,9.24,8.32,3.39,4.93,2.62,5.39,3.7,7.55,4.93,5.86,1.08,3.24
DNA,8433.47,0.012820513,6.56538105,-0.155128205,0.269230769,0.217948718,0.333333333,12.82,0.0,3.85,8.97,1.28,7.69,1.28,8.97,2.56,8.97,2.56,6.41,0.0,3.85,10.26,7.69,5.13,7.69,0.0,0.0
DNA,59874.787,0.053667263,5.19271946,-0.160822898,0.26118068,0.23076923100000002,0.31305903399999996,12.52,0.54,4.11,7.51,2.86,7.69,1.25,5.55,5.72,7.69,3.58,2.33,6.8,6.98,3.4,6.26,5.19,7.51,0.54,1.97
DNA,69559.9771,0.106557377,6.195813942000001,-0.454262295,0.309836066,0.231147541,0.213114754,5.74,2.13,5.25,7.21,4.75,4.92,1.8,4.92,7.54,6.89,1.48,5.74,4.75,5.08,4.1,7.7,5.57,8.52,2.79,3.11
DNA,38174.401,0.07917888599999999,6.279253578,-0.239882698,0.284457478,0.20527859199999998,0.31085044,10.85,1.17,4.4,8.21,3.23,6.74,2.35,6.16,4.4,7.33,4.69,4.11,4.69,2.93,7.33,4.99,4.69,7.04,1.17,3.52
DNA,131100.3608,0.08768822,6.232020378,-0.742072631,0.294951284,0.19663419,0.274579274,5.14,0.8,7.26,9.57,4.16,4.52,1.95,5.58,10.54,10.98,1.77,5.4,3.63,4.07,5.4,6.11,4.34,4.16,1.15,3.45
DNA,14762.1358,0.07518797,9.233564949,0.178195489,0.32330827100000004,0.263157895,0.15037594,3.76,6.77,0.75,1.5,3.76,5.26,2.26,11.28,3.76,7.52,2.26,9.02,4.51,4.51,4.51,7.52,11.28,6.02,0.75,3.01
DNA,22298.8217,0.090909091,9.706827354,-0.041919192,0.338383838,0.212121212,0.237373737,9.6,1.52,4.04,4.04,4.55,4.04,2.02,10.61,8.08,7.58,2.53,5.56,4.55,3.03,6.06,7.07,4.04,6.57,0.0,4.55
DNA,14802.8937,0.063492063,9.694836235,-0.744444444,0.27777777800000003,0.23809523800000001,0.23015873,3.17,1.59,2.38,8.73,3.97,2.38,3.17,9.52,11.11,7.94,3.17,11.11,2.38,3.97,6.35,7.94,4.76,3.97,0.79,1.59
DNA,46625.3074,0.053488372,6.544066429,-0.617209302,0.209302326,0.288372093,0.258139535,9.53,1.16,3.95,6.74,2.33,8.6,3.26,4.88,4.88,6.28,3.26,5.35,3.72,6.98,5.12,11.16,5.35,4.42,0.47,2.56
DNA,34419.1102,0.136986301,5.537447929,-0.444520548,0.35273972600000003,0.184931507,0.23972602699999998,4.11,2.05,6.85,9.93,7.19,5.48,1.03,8.22,10.62,7.19,2.74,5.82,2.4,2.74,4.45,4.79,1.71,6.16,1.03,5.48
DNA,57837.3244,0.10588235300000001,5.430420112999999,-0.796862745,0.239215686,0.292156863,0.237254902,5.88,2.16,5.69,7.45,4.9,6.08,3.33,1.57,4.12,7.45,2.94,2.16,13.92,6.86,5.49,7.06,2.94,4.31,0.78,4.9
DNA,55130.2454,0.11320754699999999,5.700405312000001,-0.876519916,0.23899371100000003,0.28301886800000003,0.22012578600000002,4.61,2.31,5.66,7.76,5.24,4.82,3.35,2.73,4.61,5.66,3.98,3.98,11.32,6.29,6.08,8.18,3.14,4.19,0.84,5.24
DNA,85955.9888,0.053735255999999995,6.096459389,-0.694888598,0.25163827,0.250327654,0.272608126,6.95,0.79,4.19,7.6,1.97,4.06,2.88,3.8,5.77,10.09,2.62,5.5,7.6,9.83,4.59,7.86,4.59,5.9,0.92,2.49
DNA,55636.4943,0.084,6.801490211,-0.4574,0.266,0.262,0.226,6.0,2.6,4.8,6.6,3.8,7.0,2.0,4.2,6.2,7.2,2.8,4.2,6.4,4.6,5.0,8.6,6.6,6.8,1.2,3.4
DNA,128253.0645,0.056620209000000005,9.379714775,-0.868466899,0.222996516,0.24825784,0.244773519,6.79,0.78,6.36,7.93,2.35,5.31,1.83,4.79,13.85,7.32,2.44,3.75,4.27,3.66,4.27,11.5,4.97,4.53,0.7,2.61
DNA,81623.1085,0.10451977400000001,5.780491447,-0.547316384,0.29519774,0.21045197699999998,0.266949153,5.37,2.12,6.78,8.05,5.08,5.08,2.68,4.24,8.9,10.03,3.25,4.8,4.52,4.1,3.81,6.64,4.38,4.8,1.69,3.67
DNA,42148.6795,0.06905370799999999,9.082322121,-0.520204604,0.24808184100000003,0.335038363,0.176470588,6.65,0.77,4.86,3.84,2.05,8.95,2.3,4.86,3.58,5.63,1.53,3.07,9.97,4.86,6.65,11.51,6.65,7.42,0.51,4.35
DNA,35557.4694,0.121311475,8.612283134,-0.447540984,0.344262295,0.2,0.22295082,5.25,0.98,7.54,6.56,3.93,3.93,1.97,8.52,11.8,7.54,2.95,5.57,2.62,1.31,3.61,7.87,3.61,6.23,1.97,6.23
DNA,57259.8211,0.052930057,5.020326805,-0.387145558,0.258979206,0.315689981,0.257088847,6.24,0.95,6.81,6.05,3.21,5.48,2.46,3.21,5.1,11.15,2.27,2.84,10.02,4.35,3.59,13.23,4.73,6.24,0.57,1.51
DNA,55243.9435,0.062992126,8.333973122,-0.408464567,0.242125984,0.29330708699999997,0.251968504,8.27,3.74,5.31,5.31,3.54,10.04,2.17,4.33,4.33,8.86,2.76,4.33,4.72,5.71,7.28,10.24,1.57,4.72,0.39,2.36
DNA,48459.8189,0.066815145,7.809264946,-0.246547884,0.258351893,0.29844098,0.227171492,7.8,4.23,4.01,6.01,3.79,10.24,2.0,4.45,3.34,7.35,1.56,3.34,9.35,3.56,7.13,6.9,4.68,7.35,1.78,1.11
DNA,143532.9168,0.016751639,7.809974098,-0.01201748,0.269482884,0.23015295,0.300072833,13.04,1.89,4.3,3.57,1.02,8.81,3.42,3.2,2.77,12.53,0.87,1.97,7.36,9.25,5.24,4.88,5.68,9.54,0.36,0.29
DNA,58265.1666,0.08627451,6.854748344,-0.397647059,0.3,0.19803921600000002,0.28627451,6.27,1.57,5.88,8.24,5.1,5.88,2.16,4.12,6.86,10.98,3.14,3.14,3.92,4.12,7.06,6.86,4.9,6.27,1.37,2.16
DNA,33144.4937,0.110726644,6.6645082470000006,-0.355017301,0.314878893,0.18685121100000002,0.266435986,7.61,1.04,6.23,5.54,4.84,6.92,2.42,5.54,3.46,10.73,2.77,1.73,5.88,6.23,7.96,4.15,6.57,4.15,1.38,4.84
DNA,14342.5803,0.091603053,6.8455972670000005,-0.854961832,0.198473282,0.282442748,0.29770992399999996,12.21,0.0,4.58,9.92,3.05,11.45,2.29,1.53,6.11,4.58,3.05,2.29,2.29,3.05,8.4,12.21,2.29,4.58,1.53,4.58
DNA,24285.8022,0.08675799099999999,9.725329781000001,-0.212785388,0.296803653,0.228310502,0.342465753,11.42,1.83,2.28,7.31,4.11,9.59,3.65,0.91,2.74,14.16,1.37,1.37,8.22,1.37,10.96,3.65,4.57,5.94,1.37,3.2
DNA,87661.5172,0.09462915599999999,6.373208427000001,-0.470332481,0.274936061,0.25831202,0.253196931,6.01,3.32,5.63,6.39,5.12,6.78,2.43,2.43,6.39,11.0,1.92,3.84,6.65,4.99,4.86,8.57,4.73,4.6,1.28,3.07
DNA,46898.9252,0.064965197,7.684540749,-0.360556845,0.276102088,0.34802784200000003,0.225058005,4.87,0.46,4.18,5.1,3.71,3.94,1.16,5.34,7.42,10.9,1.62,4.87,12.06,3.94,2.09,13.92,6.73,4.87,0.93,1.86
DNA,50810.7986,0.060606060999999996,7.920279503,-0.308874459,0.25974026,0.28138528100000004,0.26406926399999997,6.28,2.81,4.55,6.06,3.68,6.93,3.25,4.33,5.63,10.39,3.68,3.9,7.58,3.03,5.41,9.74,5.19,5.19,0.43,1.95
DNA,104902.8809,0.08982684,6.144886208,-0.385930736,0.305194805,0.24242424199999998,0.22727272699999998,5.19,2.16,6.28,6.39,5.52,3.35,2.27,6.93,6.71,9.63,1.52,5.3,5.09,4.65,4.87,10.5,5.19,4.98,0.43,3.03
DNA,58447.3305,0.093253968,8.738770103,-0.682738095,0.287698413,0.242063492,0.236111111,4.96,1.39,6.55,6.15,4.17,4.56,2.58,5.16,6.94,9.92,2.58,7.54,2.78,4.76,6.94,9.33,4.17,4.37,2.38,2.78
DNA,81988.9427,0.080555556,5.857224082999999,-0.457916667,0.288888889,0.190277778,0.315277778,9.17,0.83,5.28,8.19,3.06,7.08,2.5,4.31,3.33,10.83,3.33,4.31,2.78,6.53,8.33,4.86,4.58,5.69,1.81,3.19
DNA,42123.3584,0.086956522,8.384129524,-0.571195652,0.27173913,0.22010869600000002,0.21195652199999998,5.16,2.99,3.53,6.25,2.45,3.8,5.16,3.53,7.07,6.79,2.99,4.62,4.89,6.25,3.8,8.7,7.61,8.15,2.17,4.08
DNA,15185.2819,0.05384615400000001,5.311683464,-0.369230769,0.361538462,0.17692307699999998,0.307692308,3.85,1.54,4.62,10.77,0.77,2.31,0.0,8.46,6.92,14.62,1.54,7.69,0.77,6.92,6.92,6.92,3.08,7.69,0.77,3.85
DNA,49658.5339,0.103926097,5.326120567,-0.166974596,0.35796766700000004,0.19399538100000002,0.23556582,3.93,1.39,6.7,7.62,5.54,6.0,1.85,9.7,7.16,9.47,2.54,4.85,3.23,3.0,4.39,5.31,6.24,6.24,0.69,4.16
DNA,92092.4892,0.05904059,8.634524727,-1.287207872,0.18942189399999998,0.46740467399999996,0.17097171,1.72,1.35,4.43,3.2,2.83,4.55,3.69,2.95,5.78,7.63,4.55,26.94,2.34,4.43,2.71,12.92,2.46,2.46,0.62,2.46
DNA,24927.3554,0.08411215,9.028039742,-0.524299065,0.299065421,0.224299065,0.238317757,3.74,1.87,4.21,8.41,4.21,4.21,1.4,8.41,6.07,8.41,3.27,4.67,4.67,5.14,8.88,8.88,4.67,4.67,0.93,3.27
DNA,41691.5097,0.058510638,6.529515647999999,-0.742021277,0.20478723399999998,0.268617021,0.287234043,9.31,1.33,4.26,7.98,1.86,7.71,2.39,5.59,6.12,6.65,4.79,4.79,5.85,7.45,5.59,8.51,3.46,2.39,0.27,3.72
DNA,15892.6788,0.057971014,5.8274404529999995,-0.889130435,0.21739130399999998,0.144927536,0.34057971,10.14,2.17,3.62,14.49,3.62,2.17,1.45,4.35,10.14,7.25,2.17,4.35,0.72,7.25,6.52,7.25,5.8,4.35,0.0,2.17
DNA,43652.7134,0.061068702,6.331659126,-0.756234097,0.208651399,0.305343511,0.24936386800000002,6.11,2.54,5.09,7.63,2.8,5.85,3.05,2.04,5.09,8.14,3.05,3.56,11.45,3.82,6.62,9.67,5.6,4.58,1.02,2.29
DNA,43154.5954,0.072351421,6.834911537000001,-0.604134367,0.237726098,0.271317829,0.258397933,5.94,3.1,4.39,8.27,3.36,6.2,2.84,2.33,6.2,9.04,2.58,2.07,9.82,3.62,6.2,9.04,5.94,5.17,0.78,3.1
DNA,16172.1351,0.079136691,5.9253740310000005,-0.669784173,0.28057554,0.165467626,0.30215827300000003,5.04,0.0,5.04,8.63,3.6,4.32,2.16,5.04,7.19,12.23,4.32,5.04,0.72,9.35,5.04,6.47,8.63,2.88,0.0,4.32
DNA,8959.3146,0.04938271599999999,5.58746624,0.079012346,0.358024691,0.12345679,0.37037037,9.88,0.0,8.64,7.41,4.94,7.41,2.47,0.0,7.41,17.28,2.47,0.0,1.23,6.17,6.17,3.7,1.23,13.58,0.0,0.0
DNA,82784.5723,0.049518569000000005,6.508371544,-0.979917469,0.19394773,0.202200825,0.2434663,5.64,3.71,5.5,10.73,2.34,5.36,4.54,3.03,8.94,4.81,3.16,3.3,6.88,5.5,6.19,4.68,6.46,6.6,0.14,2.48
DNA,75710.8029,0.057926829000000006,8.613056755,-1.067073171,0.193597561,0.21493902399999998,0.236280488,6.1,5.03,7.01,8.84,2.29,5.18,2.9,3.35,7.01,6.71,1.98,2.13,7.77,6.1,10.82,6.4,3.35,3.51,1.07,2.44
DNA,90626.1687,0.075215783,5.449915886,-0.176695438,0.321824908,0.171393342,0.411837238,11.84,0.12,4.32,11.1,3.82,7.64,1.36,1.73,3.08,16.52,1.73,0.86,5.92,2.71,10.11,2.71,4.32,6.41,0.25,3.45
DNA,100152.1458,0.08013544,5.780605125,-0.428555305,0.288939052,0.25395033899999997,0.250564334,5.76,1.58,4.63,7.9,3.84,3.5,1.69,5.98,6.09,8.8,2.6,6.77,4.4,3.72,4.97,10.72,6.77,6.09,1.24,2.93
DNA,48327.9652,0.09677419400000001,6.875494576,-0.484792627,0.267281106,0.267281106,0.244239631,8.53,1.15,3.92,6.91,4.15,6.45,2.76,5.53,5.99,6.68,2.3,3.0,6.91,5.76,4.61,10.37,4.61,4.84,1.38,4.15
DNA,12729.5415,0.042372880999999994,8.024976158,-0.023728814,0.279661017,0.237288136,0.372881356,13.56,0.0,2.54,7.63,1.69,4.24,2.54,5.08,6.78,11.86,4.24,2.54,3.39,4.24,4.24,13.56,2.54,6.78,0.0,2.54
DNA,19253.9843,0.046783625999999995,5.973744011,-0.250292398,0.263157895,0.128654971,0.33918128700000005,10.53,5.26,4.68,9.36,2.92,3.51,5.26,2.92,5.26,11.11,2.92,1.75,4.09,6.43,5.85,3.51,5.26,7.6,0.0,1.75
DNA,49588.8534,0.103211009,5.83374958,-0.794036697,0.25,0.300458716,0.21330275199999998,5.05,2.75,6.42,5.96,3.9,5.5,2.98,2.75,5.28,8.26,2.06,5.28,9.63,5.5,5.05,9.63,3.9,3.67,2.29,4.13
