ID,PAAC1_A,PAAC1_C,PAAC1_D,PAAC1_E,PAAC1_F,PAAC1_G,PAAC1_H,PAAC1_I,PAAC1_K,PAAC1_L,PAAC1_M,PAAC1_N,PAAC1_P,PAAC1_Q,PAAC1_R,PAAC1_S,PAAC1_T,PAAC1_V,PAAC1_W,PAAC1_Y,PAAC1_lam1
Seq_29,52.007,12.7736,28.2845,42.883,31.0217,29.1969,13.686,18.2481,36.4961,59.3062,8.2116,29.1969,13.686,24.6349,27.3721,44.7078,30.1093,26.4597,10.0364,13.686,0.0876
Seq_30,16.4373,0.0,10.045,12.7846,3.6527,16.4373,0.9132,8.2187,20.0901,2.7396,3.6527,5.4791,8.2187,4.5659,6.3923,12.7846,6.3923,5.4791,0.9132,2.7396,0.0868
Seq_31,55.9257,5.5009,39.423,22.0035,27.5044,55.0089,18.3363,26.5876,32.0885,41.2566,11.9186,42.1735,51.3416,36.6726,29.3381,41.2566,63.2602,32.0885,14.669,26.5876,0.0832
Seq_32,49.5591,3.671,36.7104,24.7795,30.2861,58.7367,13.7664,28.4506,33.9571,38.5459,12.8486,51.3946,55.9834,29.3683,29.3683,34.8749,56.9012,37.6282,13.7664,26.6151,0.0822
Seq_33,30.9203,20.9167,21.8261,25.4638,16.3696,51.837,13.6413,8.1848,21.8261,53.6559,4.5471,6.366,49.1088,17.279,42.7428,53.6559,18.1884,28.1921,10.9131,12.7319,0.0906
Seq_34,7.2927,0.0,0.9116,4.5579,1.8232,6.3811,0.9116,3.6463,1.8232,5.4695,2.7348,5.4695,0.9116,7.2927,4.5579,6.3811,2.7348,2.7348,0.0,0.0,0.0884
Seq_35,31.6714,5.5891,32.6029,15.8357,11.1781,40.055,27.9453,14.9042,15.8357,31.6714,22.3563,16.7672,45.6441,25.1508,16.7672,39.1235,16.7672,21.4248,2.7945,10.2466,0.0685
Seq_36,4.5547,0.9109,5.4656,6.3765,0.9109,0.9109,1.8219,4.5547,5.4656,9.1093,2.7328,4.5547,2.7328,2.7328,2.7328,3.6437,0.9109,4.5547,0.0,0.9109,0.0891
Seq_37,6.2663,0.0,6.2663,4.4759,2.6855,5.3711,0.0,3.5807,1.7904,8.0566,1.7904,1.7904,5.3711,0.8952,7.1614,5.3711,4.4759,4.4759,0.0,0.8952,0.1048
Seq_38,29.2227,3.6528,29.2227,15.5246,12.7849,27.3963,13.6982,24.6567,43.8341,33.7888,7.3057,17.351,18.2642,25.5699,25.5699,43.8341,36.5284,21.917,10.0453,12.7849,0.0868
Seq_39,25.0698,1.7907,8.9535,11.6395,4.4767,14.3256,5.3721,8.0581,2.686,21.4884,4.4767,0.0,8.0581,6.2674,23.2791,8.9535,15.2209,16.1163,1.7907,4.4767,0.1047
Seq_40,9.9135,0.9012,11.7159,21.6294,8.111,13.5184,6.3086,9.9135,6.3086,18.0245,10.8147,4.5061,12.6172,6.3086,19.827,8.111,10.8147,19.827,2.7037,4.5061,0.0988
Seq_41,38.6809,9.2097,27.6292,46.9697,11.9727,27.6292,23.9453,26.7082,40.5228,46.9697,9.2097,28.5502,46.9697,32.2341,27.6292,52.4955,34.076,30.3921,11.0517,12.8936,0.079
Seq_42,14.3252,0.0,3.5813,6.2673,4.4766,6.2673,1.7907,6.2673,14.3252,11.6393,0.8953,0.8953,4.4766,7.1626,15.2206,8.9533,8.0579,5.372,0.0,1.7907,0.1047
Seq_43,16.1165,1.7907,3.5814,6.2675,3.5814,6.2675,1.7907,6.2675,11.6397,10.7443,2.6861,0.8954,5.3722,7.1629,16.1165,4.4768,8.9536,5.3722,0.0,2.6861,0.1046
Seq_44,16.1205,0.8956,3.5823,6.2691,3.5823,6.2691,1.7912,6.2691,11.6426,10.747,2.6867,0.8956,5.3735,7.1647,16.1205,5.3735,8.9558,5.3735,0.0,2.6867,0.1044
Seq_45,16.121,0.8956,3.5824,6.2693,3.5824,7.1649,1.7912,7.1649,11.6429,10.7473,1.7912,0.8956,5.3737,7.1649,16.121,5.3737,8.9561,4.478,0.0,2.6868,0.1044
Seq_46,15.2545,1.7946,3.5893,6.2813,2.692,6.2813,1.7946,6.2813,9.8705,11.6652,1.7946,1.7946,5.3839,7.1786,16.1518,5.3839,9.8705,5.3839,0.0,2.692,0.1027
Seq_47,16.1168,1.7908,3.5815,6.2676,3.5815,5.3723,1.7908,6.2676,12.5353,10.7445,2.6861,0.8954,5.3723,7.163,16.1168,3.5815,8.9538,6.2676,0.0,2.6861,0.1046
Seq_48,25.3419,1.8101,12.671,17.1963,7.2406,7.2406,15.3862,14.4811,17.1963,35.2977,1.8101,13.576,15.3862,19.9115,21.7217,9.9558,10.8608,20.8166,4.5253,7.2406,0.0949
Seq_49,23.1083,7.3947,28.6543,32.3516,10.1676,49.9139,27.7299,18.4866,29.5786,18.4866,7.3947,7.3947,21.2596,13.865,12.9406,21.2596,22.184,23.1083,1.8487,5.546,0.0757
Seq_50,28.2688,10.9428,20.0617,23.7093,14.5904,22.7974,5.4714,14.5904,16.4142,33.7402,5.4714,15.5023,20.9736,11.8547,19.1498,22.7974,20.0617,17.326,5.4714,8.2071,0.0881
Seq_51,19.4079,16.6354,18.4837,24.953,14.787,30.4982,7.3935,20.3321,24.953,42.5126,12.9386,13.8628,40.6642,18.4837,22.1805,40.6642,28.6498,17.5595,0.9242,11.0902,0.0758
Seq_52,5.5617,0.927,4.6348,3.7078,0.927,5.5617,0.0,5.5617,5.5617,8.3426,1.8539,1.8539,0.927,3.7078,2.7809,5.5617,6.4887,5.5617,0.927,1.8539,0.073
Seq_53,20.3744,3.7044,8.335,18.5222,2.7783,4.6305,1.8522,10.1872,9.2611,14.8177,2.7783,8.335,3.7044,16.6699,7.4089,15.7438,4.6305,7.4089,0.9261,0.9261,0.0739
Seq_54,44.8618,16.4799,29.2975,43.9463,21.9731,28.382,13.7332,37.5375,54.9329,49.4396,20.1421,29.2975,15.5643,32.0442,21.9731,44.8618,29.2975,34.7908,6.4088,19.2265,0.0845
Seq_55,8.8295,0.0,2.6488,6.1806,0.8829,5.2977,0.8829,6.1806,1.7659,6.1806,1.7659,4.4147,0.0,2.6488,7.0636,5.2977,3.5318,5.2977,0.0,0.0,0.1171
Seq_56,64.5259,2.7654,21.2014,38.7155,14.7488,39.6373,6.4526,28.5757,29.4975,39.6373,18.436,11.9834,35.0283,35.9501,17.5142,32.2629,26.7321,38.7155,2.7654,10.1398,0.0782
Seq_57,31.8092,11.8148,29.0827,39.9887,26.3562,27.265,9.9972,27.265,41.8064,38.171,8.1795,31.8092,26.3562,28.1739,22.7209,42.7152,30.9004,47.2594,15.4502,17.2678,0.0912
Seq_58,33.6113,3.6337,13.6262,25.4356,9.9926,20.8935,7.2673,19.0767,13.6262,22.7104,14.5346,12.7178,14.5346,9.0841,22.7104,15.443,14.5346,21.8019,3.6337,10.901,0.0916
Seq_59,52.7772,8.1896,74.616,98.2747,42.7677,46.4075,20.0189,57.3269,108.2842,112.8339,18.199,55.507,37.308,41.8577,55.507,62.7866,44.5876,42.7677,11.8294,35.4881,0.09
Seq_60,4.6502,8.3704,0.93,1.8601,4.6502,6.5103,2.7901,13.9506,4.6502,9.3004,2.7901,11.1605,5.5802,5.5802,5.5802,9.3004,13.9506,7.4403,0.93,3.7202,0.07
Seq_61,17.1855,2.7135,7.236,7.236,8.1405,7.236,3.618,18.9945,14.472,13.5675,4.5225,9.9495,8.1405,5.427,10.854,12.663,7.236,11.7585,0.0,8.1405,0.0955
Seq_62,3.659,1.8295,2.7442,10.0622,4.5737,2.7442,3.659,10.9769,12.8064,9.1475,3.659,12.8064,2.7442,4.5737,7.318,9.1475,5.4885,4.5737,0.9147,1.8295,0.0853
Seq_63,37.8859,4.6202,15.7088,26.7973,9.2405,34.1897,12.9366,19.405,19.405,24.9492,12.9366,21.2531,14.7847,27.7214,20.329,44.3542,21.2531,17.5569,1.8481,10.1645,0.076
Seq_64,10.7814,5.3907,17.9691,26.0551,18.8675,14.3752,2.6954,21.5629,27.852,18.8675,7.1876,15.2737,6.2892,7.1876,11.6799,12.5783,4.4923,16.1722,2.6954,14.3752,0.1015
Seq_65,27.6114,10.1242,26.691,34.9744,23.0095,28.5317,15.6464,7.363,19.328,34.9744,13.8057,10.1242,65.3469,32.2133,25.7706,33.1336,13.8057,20.2483,3.6815,23.0095,0.0796
Seq_66,20.1945,10.0972,24.7842,33.9635,22.9483,21.1124,14.6869,11.9331,20.1945,24.7842,17.4407,17.4407,49.5683,27.538,26.62,35.7993,13.769,18.3586,3.6717,22.9483,0.0821
Seq_67,48.8381,5.5288,29.4871,53.4455,13.8221,28.5657,20.2724,26.7227,40.5448,70.9535,18.4295,38.7019,53.4455,69.1105,32.2516,55.2884,32.2516,41.4663,6.4503,17.508,0.0785
Seq_68,27.6382,11.9766,22.1106,30.402,17.5042,32.2446,9.2127,19.3467,28.5595,33.1658,12.8978,19.3467,29.4808,21.1893,23.0318,39.6148,30.402,31.3233,5.5276,15.6616,0.0787
Seq_69,71.4869,8.2485,66.9044,83.4014,24.7455,55.9064,19.2465,50.4074,145.7233,76.9859,25.662,39.4095,44.9084,38.493,44.9084,120.9778,52.2404,47.6579,7.332,27.495,0.0835
Seq_70,34.8645,13.7623,44.0394,52.2968,33.0295,33.0295,17.4323,27.5246,57.8017,65.1416,21.1022,31.1946,29.3596,26.6071,24.7721,43.1219,28.4421,31.1946,11.0098,23.8547,0.0825
Seq_71,23.9004,2.7577,17.4657,13.7887,7.354,32.1736,8.2732,17.4657,12.8694,20.2234,5.5155,11.0309,35.8506,17.4657,23.9004,41.366,23.9004,26.6581,1.8385,15.6272,0.0808
Seq_72,14.4286,2.7054,20.7412,18.0358,10.8215,10.8215,5.4107,23.4465,32.4644,20.7412,8.1161,15.3304,7.2143,3.6072,9.9197,21.643,9.9197,17.134,5.4107,17.134,0.0982
Seq_73,30.5265,4.6252,33.3017,29.6015,15.7258,26.8263,12.0256,15.7258,24.9762,54.5777,11.1006,13.8757,49.0274,21.2761,17.5759,64.7532,23.1262,30.5265,2.7751,7.4004,0.075
Seq_74,38.4893,17.4118,24.7431,24.7431,16.4954,46.737,10.0805,20.1611,20.1611,41.2386,12.8298,20.1611,21.9939,26.576,33.9073,47.6534,7.3313,21.9939,1.8328,10.9969,0.0836
Seq_75,32.0336,17.3897,16.4744,24.7117,15.5592,42.1014,8.2372,18.3049,13.7287,30.2032,6.4067,13.7287,38.4404,14.644,29.2879,28.3727,19.2202,30.2032,7.322,4.5762,0.0848
Seq_76,165.9122,24.099,54.6862,45.4173,12.9764,112.153,43.5635,40.7829,35.2216,159.4241,11.1226,25.0259,93.6153,117.7143,66.7357,62.1012,72.297,121.4218,4.6344,3.7075,0.0731
Seq_77,29.0554,7.2639,27.2395,38.1353,23.6076,27.2395,9.9878,19.0676,31.7794,50.847,14.5277,14.5277,18.1597,19.0676,32.6874,31.7794,22.6996,29.0554,6.3559,9.9878,0.092
Seq_78,19.9285,2.7175,16.3051,14.4934,12.6817,18.1168,6.3409,14.4934,9.0584,28.081,7.2467,4.5292,15.3993,16.3051,20.8343,10.8701,17.2109,10.8701,3.6234,12.6817,0.0942
Seq_79,14.4034,0.0,5.4013,11.7028,3.6009,13.5032,2.7006,1.8004,7.2017,5.4013,3.6009,2.7006,2.7006,3.6009,9.9024,14.4034,2.7006,5.4013,1.8004,5.4013,0.0998
Seq_80,22.3874,3.582,4.4775,14.328,8.0595,18.8054,7.164,1.791,5.373,27.7604,2.6865,2.6865,16.1189,2.6865,21.4919,7.164,8.955,11.6415,2.6865,6.2685,0.1045
Seq_81,43.1389,23.8641,40.3853,45.8924,36.7139,48.646,17.4391,17.4391,45.8924,78.9349,13.7677,27.5354,47.7281,35.7961,34.8782,61.4958,33.9604,33.0425,9.1785,22.0284,0.0822
Seq_82,19.5124,1.8583,16.7249,20.4416,14.8666,15.7958,4.6458,21.3707,29.7332,43.6706,6.5041,19.5124,48.3165,15.7958,8.3625,55.7498,26.9457,19.5124,3.7167,7.4333,0.0708
Seq_83,26.6736,11.9572,19.3154,25.7539,15.6363,29.433,13.7967,18.3956,23.9143,44.1495,15.6363,16.5561,32.1923,12.8769,22.9945,41.3901,22.0747,22.0747,1.8396,8.278,0.0802
Seq_84,43.9427,18.3095,53.0974,54.0129,46.6891,28.3796,19.2249,58.5902,56.7593,81.4771,12.8166,44.8582,43.0272,39.3653,41.1963,88.8008,43.9427,42.1117,3.6619,25.6332,0.0845
Seq_85,22.6333,6.3373,29.8759,28.0653,19.012,20.8226,11.7693,23.5386,31.6866,45.2666,11.7693,34.4026,12.6746,21.728,31.6866,42.5506,19.012,19.9173,10.864,12.6746,0.0947
Seq_86,59.4597,5.4054,34.2344,53.1534,19.8199,45.9461,16.2163,27.928,21.6217,70.2706,21.6217,27.928,18.0181,42.3425,54.0543,31.5317,29.7299,36.9371,11.7118,20.7208,0.0991
Seq_87,17.4659,10.1119,11.9504,21.143,8.2733,12.8696,17.4659,11.9504,23.9007,22.9815,10.1119,15.6274,16.5467,21.143,12.8696,29.4163,25.7393,27.5778,7.3541,13.7889,0.0807
Seq_88,4.5602,1.8241,5.4722,12.7685,0.912,2.7361,0.0,10.0324,8.2083,17.3287,1.8241,9.1204,0.912,8.2083,8.2083,8.2083,3.6482,9.1204,0.912,4.5602,0.08800000000000001
Seq_89,15.4638,5.4578,26.3794,30.018,21.8313,23.6505,7.2771,38.2047,28.1987,37.2951,10.006,19.1023,12.7349,11.8253,17.2831,20.9216,24.5602,24.5602,2.7289,16.3734,0.0904
Seq_90,13.1421,10.3259,33.794,24.4068,21.5906,34.7327,28.1617,22.5293,44.1199,58.2008,34.7327,205.5802,17.8357,33.794,20.6519,98.5658,18.7744,18.7744,4.6936,18.7744,0.0613
Seq_91,7.2199,3.61,8.1224,16.2448,8.1224,8.1224,2.7075,16.2448,11.7324,16.2448,6.3174,9.0249,9.0249,9.9274,17.1473,17.1473,9.0249,9.0249,1.805,6.3174,0.0975
Seq_92,32.2431,4.6062,14.7397,27.637,6.4486,26.7157,8.2911,19.3459,21.1883,23.0308,16.5822,16.5822,20.2671,25.7945,19.3459,29.4794,11.976,8.2911,0.9212,12.8973,0.0788
Seq_93,12.8273,2.7487,4.5812,18.3247,4.5812,2.7487,1.8325,5.4974,12.8273,9.1623,2.7487,5.4974,0.9162,9.1623,8.2461,9.1623,7.3299,5.4974,0.0,2.7487,0.0838
Seq_94,22.0704,9.196,18.392,27.588,10.1156,21.1508,11.0352,7.3568,18.392,29.4272,11.0352,12.8744,41.382,13.794,23.9096,34.9448,20.2312,16.5528,3.6784,8.2764,0.0804
Seq_95,21.1398,11.0295,15.6251,29.4119,11.9486,22.0589,10.1103,8.2721,22.0589,32.1692,9.1912,7.353,34.9266,12.8677,22.0589,32.1692,21.1398,18.3824,2.7574,11.0295,0.0809
Seq_96,6.4116,0.0,6.4116,10.9913,4.5797,5.4956,2.7478,6.4116,9.1594,15.5709,5.4956,6.4116,0.9159,11.9072,6.4116,8.2434,10.9913,3.6638,0.0,5.4956,0.0841
Seq_97,7.1982,0.0,6.2984,5.3986,3.5991,5.3986,1.7995,0.0,5.3986,12.5968,1.7995,0.0,0.8998,4.4989,4.4989,2.6993,0.8998,9.8975,0.0,0.0,0.1002
Seq_98,37.6699,24.807,36.7511,71.6646,15.6192,35.8323,30.3196,20.2131,59.7205,32.1572,21.1319,22.0506,45.9388,36.7511,41.345,31.2384,43.1825,44.1013,0.9188,16.538,0.0812
Seq_99,36.2818,29.9325,41.7241,52.6087,13.6057,30.8396,17.2339,19.955,41.7241,39.91,11.7916,12.6986,46.2593,36.2818,64.4003,38.0959,19.955,20.8621,6.3493,14.5127,0.09300000000000001
Seq_100,86.3296,0.8993,31.4743,80.934,27.8773,55.7546,9.8919,12.5897,22.4817,120.5018,12.5897,6.2949,43.1648,19.7839,73.7399,19.7839,31.4743,46.7619,1.7985,25.1795,0.1007
Seq_101,46.8403,12.8581,37.6559,64.2906,31.2269,28.4715,13.7766,48.6772,49.5956,71.6381,21.1241,55.1062,35.819,30.3084,40.4112,87.2515,55.1062,49.5956,10.1028,23.8794,0.0816
Seq_102,33.8961,4.5806,15.5739,27.4833,16.49,25.6511,10.9933,21.9867,23.8189,26.5672,9.1611,11.9094,27.4833,22.9028,18.3222,41.225,18.3222,19.2383,5.4967,16.49,0.0839
Seq_103,14.8921,0.0,2.7923,8.3768,1.8615,4.6538,2.7923,5.5845,7.446,13.0306,4.6538,2.7923,3.723,4.6538,4.6538,14.8921,2.7923,7.446,0.0,2.7923,0.0692
Seq_104,16.4221,8.211,7.2987,14.5974,4.5617,5.474,8.211,4.5617,8.211,17.3344,4.5617,2.737,6.3864,10.0357,9.1234,5.474,8.211,11.8604,0.0,2.737,0.0877
Seq_105,20.0904,10.9584,25.5695,23.7431,15.5244,21.9167,11.8716,10.9584,21.0036,32.8751,8.2188,21.0036,38.3543,21.9167,20.0904,38.3543,15.5244,14.6112,9.132,16.4376,0.0868
Seq_106,20.9829,10.9476,15.5091,34.6675,11.8599,18.246,6.3861,17.3337,16.4214,35.5798,10.0353,16.4214,14.5968,8.2107,19.1583,25.5445,18.246,16.4214,4.5615,9.123,0.0877
Seq_107,34.0619,8.2853,23.0148,17.4913,7.3647,20.253,7.3647,6.4442,8.2853,24.856,4.603,8.2853,34.0619,8.2853,23.0148,28.5384,11.9677,7.3647,0.9206,8.2853,0.0794
Seq_108,18.9564,2.7081,17.151,44.2315,20.7617,17.151,6.3188,28.8859,47.8423,38.8154,4.5134,15.3456,3.6107,8.1242,22.5671,14.4429,11.7349,23.4698,0.9027,12.6376,0.0973
Seq_109,9.6603,0.0,4.391,6.1475,0.8782,3.5128,0.8782,8.7821,6.1475,4.391,1.7564,0.0,1.7564,0.0,7.0257,1.7564,1.7564,1.7564,0.0,0.0,0.1218
Seq_110,18.1732,0.9087,9.0866,21.8078,9.9952,14.5385,8.1779,22.7165,13.6299,33.6204,7.2693,10.9039,16.3558,12.7212,16.3558,17.2645,13.6299,16.3558,0.9087,11.8126,0.0913
Seq_111,4.6358,0.9272,6.4901,12.9801,1.8543,6.4901,2.7815,4.6358,13.9073,27.8145,5.5629,3.7086,3.7086,8.3444,4.6358,8.3444,10.1987,2.7815,0.9272,5.5629,0.0728
Seq_112,28.4676,5.5099,20.2028,21.1211,7.3465,8.2648,9.1831,25.7127,23.8761,25.7127,7.3465,21.1211,20.2028,27.5493,22.0395,34.8958,15.6113,15.6113,1.8366,3.6732,0.0817
Seq_113,30.4367,6.4563,8.3009,12.9126,7.3786,23.9805,4.6116,5.534,14.7572,17.5242,3.6893,7.3786,30.4367,11.9902,14.7572,20.2912,12.9126,11.0679,3.6893,13.8349,0.0777
Seq_114,58.4726,21.0136,50.2499,74.918,30.1499,51.1635,23.7545,48.4226,52.9908,129.736,21.0136,34.7181,46.5953,35.6317,66.6953,84.968,43.8544,64.868,9.1363,21.9272,0.0864
Seq_115,68.3536,18.4739,50.8033,79.4379,33.2531,60.964,43.4138,41.5664,98.8356,102.5304,17.5502,42.4901,89.5986,53.5744,49.8796,120.0806,44.3374,45.2611,5.5422,31.4057,0.0763
Seq_116,28.3328,6.3977,18.2792,24.6769,19.1932,23.763,11.8815,21.935,25.5909,24.6769,11.8815,15.5373,25.5909,21.0211,20.1071,32.9026,17.3652,22.849,4.5698,12.7954,0.086
Seq_117,31.4097,0.9238,12.9334,10.162,5.5429,19.4001,12.9334,10.162,8.3143,14.781,8.3143,4.6191,17.5525,28.6382,10.162,11.0858,15.7048,9.2381,2.7714,10.162,0.0762
Seq_118,7.255,0.0,2.7206,2.7206,2.7206,3.6275,0.9069,4.5344,7.255,2.7206,1.8138,2.7206,1.8138,2.7206,2.7206,2.7206,5.4413,2.7206,0.0,2.7206,0.0931
Seq_119,21.0961,16.51,21.0961,35.7717,17.4272,33.02,12.8411,22.9306,20.1789,47.6956,14.6756,16.51,29.3511,22.9306,27.5167,41.275,15.5928,15.5928,3.6689,18.3445,0.0828
Seq_120,45.3694,3.7036,13.8886,19.444,9.2591,38.8881,12.9627,7.4073,13.8886,24.9995,5.5554,8.3332,49.999,14.8145,19.444,17.5922,8.3332,10.185,0.0,7.4073,0.0741
Seq_121,72.3828,10.9949,43.0632,57.723,20.1572,85.2101,26.5709,20.1572,34.817,96.205,15.576,17.4085,64.1366,39.3982,47.6444,60.4717,43.0632,45.8119,1.8325,21.9897,0.0838
Seq_122,0.9018,0.0,3.6074,7.2148,3.6074,2.7055,0.9018,7.2148,8.1166,9.9203,3.6074,2.7055,0.0,0.9018,3.6074,7.2148,2.7055,4.5092,0.0,1.8037,0.0982
Seq_123,61.5956,7.2465,30.7978,58.8781,23.5513,46.1967,14.4931,28.0803,28.9862,61.5956,9.0582,18.1163,27.1745,19.0222,41.6676,27.1745,31.7036,60.6898,3.6233,8.1524,0.0942
Seq_124,21.9627,1.8302,11.8965,22.8779,17.3872,12.8116,4.5756,19.2174,41.1801,27.4534,9.1511,14.6418,10.9814,17.3872,13.7267,15.5569,21.9627,24.7081,0.0,4.5756,0.0849
Seq_125,26.8979,10.2026,43.5931,40.8106,16.6952,29.6804,14.8402,51.9407,36.173,49.1582,10.2026,33.3905,37.1005,31.5354,20.4053,69.5635,44.5206,35.2455,1.855,19.4778,0.0725
