ID,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_TN,PCP_SM,PCP_LR
Seq_36,0.153,0.181,0.667,0.139,0.458,0.403,0.042,0.028,0.181,0.153,0.667,0.472,0.264,0.306,0.069,0.056,0.153,0.431,0.569
Seq_37,0.127,0.152,0.722,0.165,0.532,0.468,0.076,0.051,0.152,0.127,0.722,0.519,0.228,0.38,0.139,0.025,0.241,0.557,0.443
Seq_38,0.183,0.099,0.718,0.27,0.409,0.343,0.04,0.079,0.099,0.183,0.718,0.438,0.262,0.393,0.177,0.024,0.23,0.502,0.498
Seq_39,0.163,0.107,0.73,0.191,0.54,0.484,0.042,0.056,0.107,0.163,0.73,0.553,0.205,0.34,0.126,0.033,0.26,0.512,0.488
Seq_40,0.157,0.162,0.681,0.148,0.511,0.406,0.061,0.074,0.162,0.157,0.681,0.502,0.24,0.349,0.092,0.057,0.157,0.445,0.555
Seq_41,0.157,0.127,0.715,0.241,0.426,0.371,0.08,0.061,0.127,0.157,0.715,0.453,0.286,0.377,0.148,0.031,0.219,0.505,0.495
Seq_42,0.257,0.081,0.662,0.213,0.441,0.397,0.037,0.051,0.081,0.257,0.662,0.456,0.301,0.331,0.14,0.007,0.243,0.426,0.574
Seq_43,0.243,0.081,0.676,0.206,0.463,0.412,0.044,0.051,0.081,0.243,0.676,0.5,0.294,0.301,0.11,0.037,0.235,0.434,0.566
Seq_44,0.243,0.081,0.676,0.206,0.463,0.412,0.044,0.051,0.081,0.243,0.676,0.493,0.294,0.309,0.118,0.029,0.235,0.434,0.566
Seq_45,0.243,0.081,0.676,0.206,0.463,0.419,0.044,0.051,0.081,0.243,0.676,0.485,0.294,0.316,0.118,0.022,0.243,0.434,0.566
Seq_46,0.23,0.081,0.689,0.222,0.452,0.415,0.044,0.044,0.081,0.23,0.689,0.496,0.289,0.319,0.126,0.03,0.237,0.452,0.548
Seq_47,0.25,0.081,0.669,0.199,0.463,0.412,0.044,0.051,0.081,0.25,0.669,0.507,0.301,0.287,0.103,0.037,0.221,0.426,0.574
Seq_48,0.194,0.107,0.699,0.178,0.472,0.424,0.055,0.068,0.107,0.194,0.699,0.492,0.298,0.278,0.074,0.013,0.159,0.421,0.579
Seq_49,0.184,0.159,0.657,0.184,0.454,0.403,0.056,0.046,0.159,0.184,0.657,0.401,0.258,0.44,0.114,0.039,0.266,0.534,0.466
Seq_50,0.122,0.13,0.749,0.219,0.484,0.408,0.062,0.084,0.13,0.122,0.749,0.508,0.23,0.359,0.127,0.049,0.251,0.53,0.47
Seq_51,0.128,0.102,0.771,0.271,0.468,0.4,0.095,0.063,0.102,0.128,0.771,0.502,0.255,0.379,0.162,0.069,0.251,0.53,0.47
Seq_52,0.115,0.115,0.769,0.256,0.487,0.436,0.013,0.051,0.115,0.115,0.769,0.513,0.154,0.41,0.167,0.038,0.244,0.513,0.487
Seq_53,0.114,0.165,0.722,0.256,0.415,0.375,0.023,0.028,0.165,0.114,0.722,0.438,0.188,0.42,0.125,0.04,0.273,0.472,0.528
Seq_54,0.153,0.123,0.724,0.239,0.436,0.354,0.026,0.08,0.123,0.153,0.724,0.465,0.228,0.35,0.125,0.062,0.227,0.459,0.541
Seq_55,0.141,0.128,0.731,0.167,0.5,0.462,0.0,0.013,0.128,0.141,0.731,0.474,0.205,0.372,0.128,0.026,0.282,0.513,0.487
Seq_56,0.104,0.116,0.78,0.209,0.547,0.478,0.068,0.054,0.116,0.104,0.78,0.528,0.195,0.377,0.114,0.041,0.27,0.53,0.47
Seq_57,0.134,0.125,0.741,0.236,0.448,0.357,0.048,0.107,0.125,0.134,0.741,0.475,0.239,0.357,0.133,0.036,0.205,0.503,0.497
Seq_58,0.141,0.126,0.733,0.173,0.519,0.428,0.047,0.079,0.126,0.141,0.733,0.51,0.229,0.32,0.097,0.059,0.238,0.487,0.513
Seq_59,0.179,0.168,0.653,0.188,0.411,0.34,0.036,0.088,0.168,0.179,0.653,0.417,0.269,0.359,0.105,0.026,0.166,0.414,0.586
Seq_60,0.105,0.023,0.872,0.331,0.451,0.383,0.045,0.075,0.023,0.105,0.872,0.579,0.241,0.308,0.188,0.09,0.233,0.549,0.451
Seq_61,0.162,0.081,0.758,0.202,0.5,0.429,0.045,0.091,0.081,0.162,0.758,0.515,0.263,0.263,0.111,0.04,0.222,0.47,0.53
Seq_62,0.206,0.111,0.683,0.198,0.373,0.294,0.024,0.063,0.111,0.206,0.683,0.413,0.341,0.302,0.127,0.048,0.151,0.397,0.603
Seq_63,0.133,0.107,0.76,0.272,0.435,0.374,0.037,0.053,0.107,0.133,0.76,0.414,0.223,0.428,0.165,0.044,0.305,0.533,0.467
Seq_64,0.161,0.168,0.671,0.168,0.445,0.336,0.024,0.137,0.168,0.161,0.671,0.428,0.243,0.315,0.065,0.048,0.164,0.394,0.606
Seq_65,0.129,0.131,0.739,0.239,0.478,0.392,0.139,0.106,0.131,0.129,0.739,0.469,0.29,0.361,0.1,0.051,0.212,0.502,0.498
Seq_66,0.14,0.134,0.725,0.252,0.434,0.333,0.113,0.113,0.134,0.14,0.725,0.44,0.294,0.358,0.113,0.063,0.199,0.482,0.518
Seq_67,0.132,0.118,0.75,0.256,0.439,0.384,0.076,0.054,0.118,0.132,0.75,0.452,0.263,0.381,0.125,0.034,0.197,0.474,0.526
Seq_68,0.132,0.114,0.754,0.258,0.454,0.376,0.064,0.084,0.114,0.132,0.754,0.476,0.238,0.382,0.152,0.054,0.242,0.53,0.47
Seq_69,0.199,0.143,0.658,0.235,0.385,0.33,0.043,0.057,0.143,0.199,0.658,0.389,0.28,0.397,0.165,0.032,0.244,0.483,0.517
Seq_70,0.154,0.148,0.698,0.209,0.441,0.34,0.045,0.105,0.148,0.154,0.698,0.455,0.247,0.35,0.11,0.054,0.192,0.445,0.555
Seq_71,0.125,0.087,0.788,0.281,0.476,0.435,0.1,0.069,0.087,0.125,0.788,0.46,0.256,0.407,0.182,0.023,0.279,0.598,0.402
Seq_72,0.174,0.141,0.685,0.2,0.43,0.341,0.026,0.121,0.141,0.174,0.685,0.436,0.256,0.308,0.115,0.039,0.18,0.436,0.564
Seq_73,0.112,0.129,0.76,0.248,0.484,0.423,0.1,0.053,0.129,0.112,0.76,0.486,0.24,0.406,0.18,0.032,0.259,0.565,0.435
Seq_74,0.138,0.106,0.756,0.236,0.476,0.409,0.047,0.063,0.106,0.138,0.756,0.429,0.228,0.382,0.118,0.065,0.323,0.53,0.47
Seq_75,0.125,0.1,0.775,0.205,0.537,0.465,0.094,0.067,0.1,0.125,0.775,0.523,0.252,0.354,0.116,0.058,0.292,0.579,0.421
Seq_76,0.114,0.079,0.807,0.22,0.567,0.545,0.074,0.017,0.079,0.114,0.807,0.555,0.208,0.365,0.106,0.028,0.286,0.575,0.425
Seq_77,0.161,0.141,0.698,0.196,0.471,0.375,0.039,0.086,0.141,0.161,0.698,0.476,0.231,0.359,0.118,0.047,0.206,0.447,0.553
Seq_78,0.138,0.118,0.744,0.228,0.498,0.408,0.059,0.111,0.118,0.138,0.744,0.505,0.215,0.356,0.107,0.038,0.197,0.443,0.557
Seq_79,0.168,0.145,0.687,0.221,0.443,0.366,0.023,0.092,0.145,0.168,0.687,0.351,0.214,0.435,0.145,0.031,0.359,0.519,0.481
Seq_80,0.174,0.096,0.731,0.146,0.571,0.502,0.082,0.087,0.096,0.174,0.731,0.539,0.269,0.288,0.082,0.032,0.265,0.489,0.511
Seq_81,0.137,0.12,0.743,0.247,0.458,0.375,0.066,0.095,0.12,0.137,0.743,0.471,0.242,0.371,0.133,0.052,0.247,0.501,0.499
Seq_82,0.107,0.093,0.8,0.269,0.483,0.42,0.121,0.065,0.093,0.107,0.8,0.515,0.276,0.378,0.206,0.021,0.232,0.559,0.441
Seq_83,0.143,0.106,0.751,0.227,0.485,0.407,0.076,0.061,0.106,0.143,0.751,0.496,0.258,0.355,0.149,0.065,0.258,0.522,0.478
Seq_84,0.139,0.127,0.735,0.255,0.426,0.352,0.051,0.09,0.127,0.139,0.735,0.466,0.242,0.364,0.157,0.037,0.212,0.481,0.519
Seq_85,0.165,0.127,0.708,0.224,0.409,0.317,0.028,0.093,0.127,0.165,0.708,0.419,0.268,0.355,0.135,0.04,0.202,0.456,0.544
Seq_86,0.142,0.135,0.724,0.2,0.481,0.399,0.028,0.081,0.135,0.142,0.724,0.464,0.212,0.365,0.094,0.042,0.219,0.446,0.554
Seq_87,0.16,0.098,0.742,0.296,0.399,0.323,0.049,0.087,0.098,0.16,0.742,0.467,0.255,0.361,0.163,0.06,0.207,0.495,0.505
Seq_88,0.138,0.154,0.708,0.223,0.408,0.377,0.008,0.054,0.154,0.138,0.708,0.431,0.223,0.346,0.1,0.031,0.146,0.385,0.615
Seq_89,0.134,0.143,0.723,0.201,0.473,0.386,0.032,0.104,0.143,0.134,0.723,0.49,0.215,0.349,0.115,0.039,0.166,0.439,0.561
Seq_90,0.122,0.076,0.802,0.236,0.296,0.216,0.023,0.059,0.076,0.122,0.802,0.289,0.415,0.32,0.154,0.059,0.205,0.592,0.408
Seq_91,0.164,0.126,0.71,0.238,0.425,0.341,0.047,0.084,0.126,0.164,0.71,0.449,0.257,0.355,0.136,0.051,0.187,0.416,0.584
Seq_92,0.141,0.122,0.737,0.245,0.444,0.375,0.059,0.059,0.122,0.141,0.737,0.415,0.247,0.394,0.12,0.061,0.269,0.476,0.524
Seq_93,0.181,0.181,0.638,0.246,0.348,0.29,0.007,0.058,0.181,0.181,0.638,0.406,0.232,0.406,0.13,0.043,0.217,0.406,0.594
Seq_94,0.148,0.127,0.725,0.239,0.45,0.382,0.115,0.061,0.127,0.148,0.725,0.473,0.298,0.377,0.153,0.056,0.242,0.545,0.455
Seq_95,0.152,0.127,0.721,0.248,0.452,0.385,0.098,0.072,0.127,0.152,0.721,0.481,0.271,0.375,0.15,0.057,0.243,0.517,0.483
Seq_96,0.144,0.137,0.719,0.288,0.381,0.302,0.007,0.079,0.137,0.144,0.719,0.424,0.201,0.424,0.151,0.043,0.158,0.381,0.619
Seq_97,0.16,0.16,0.679,0.111,0.568,0.494,0.012,0.049,0.16,0.16,0.679,0.506,0.173,0.346,0.049,0.025,0.21,0.457,0.543
Seq_98,0.197,0.162,0.641,0.228,0.38,0.323,0.069,0.05,0.162,0.197,0.641,0.428,0.298,0.382,0.111,0.069,0.194,0.481,0.519
Seq_99,0.207,0.159,0.634,0.233,0.38,0.326,0.078,0.058,0.159,0.207,0.634,0.412,0.306,0.369,0.098,0.07,0.227,0.465,0.535
Seq_100,0.145,0.154,0.7,0.133,0.559,0.501,0.059,0.075,0.154,0.145,0.7,0.527,0.213,0.328,0.07,0.018,0.223,0.441,0.559
Seq_101,0.128,0.125,0.747,0.257,0.422,0.345,0.044,0.08,0.125,0.128,0.747,0.471,0.239,0.372,0.175,0.042,0.216,0.502,0.498
Seq_102,0.134,0.108,0.758,0.26,0.468,0.389,0.069,0.097,0.108,0.134,0.758,0.461,0.233,0.38,0.15,0.035,0.265,0.498,0.502
Seq_103,0.136,0.102,0.763,0.229,0.508,0.449,0.034,0.042,0.102,0.136,0.763,0.492,0.195,0.347,0.161,0.042,0.314,0.492,0.508
Seq_104,0.164,0.14,0.696,0.222,0.456,0.398,0.041,0.047,0.14,0.164,0.696,0.526,0.222,0.327,0.088,0.082,0.228,0.462,0.538
Seq_105,0.133,0.124,0.743,0.259,0.431,0.349,0.096,0.103,0.124,0.133,0.743,0.443,0.282,0.369,0.135,0.048,0.229,0.518,0.482
Seq_106,0.127,0.152,0.721,0.218,0.453,0.373,0.044,0.077,0.152,0.127,0.721,0.486,0.221,0.365,0.133,0.064,0.229,0.475,0.525
Seq_107,0.132,0.138,0.73,0.223,0.478,0.434,0.116,0.057,0.138,0.132,0.73,0.478,0.277,0.374,0.138,0.044,0.311,0.601,0.399
Seq_108,0.213,0.17,0.617,0.138,0.436,0.363,0.01,0.095,0.17,0.213,0.617,0.429,0.266,0.313,0.073,0.02,0.148,0.346,0.654
Seq_109,0.232,0.174,0.594,0.058,0.536,0.493,0.029,0.014,0.174,0.232,0.594,0.507,0.261,0.29,0.058,0.029,0.246,0.406,0.594
Seq_110,0.138,0.112,0.75,0.204,0.507,0.441,0.059,0.082,0.112,0.138,0.75,0.507,0.237,0.322,0.112,0.03,0.184,0.424,0.576
Seq_111,0.156,0.143,0.701,0.245,0.429,0.367,0.027,0.061,0.143,0.156,0.701,0.463,0.211,0.388,0.136,0.048,0.15,0.347,0.653
Seq_112,0.16,0.12,0.721,0.253,0.407,0.359,0.059,0.037,0.12,0.16,0.721,0.444,0.279,0.37,0.146,0.037,0.223,0.492,0.508
Seq_113,0.13,0.081,0.789,0.25,0.511,0.454,0.116,0.095,0.081,0.13,0.789,0.493,0.275,0.345,0.127,0.039,0.31,0.577,0.423
Seq_114,0.148,0.129,0.723,0.214,0.474,0.411,0.048,0.063,0.129,0.148,0.723,0.488,0.232,0.351,0.133,0.043,0.222,0.47,0.53
Seq_115,0.175,0.119,0.706,0.244,0.423,0.372,0.082,0.064,0.119,0.175,0.706,0.425,0.295,0.373,0.15,0.033,0.244,0.492,0.508
Seq_116,0.148,0.11,0.742,0.232,0.469,0.378,0.066,0.094,0.11,0.148,0.742,0.469,0.254,0.354,0.129,0.047,0.235,0.491,0.509
Seq_117,0.128,0.094,0.777,0.272,0.487,0.419,0.072,0.075,0.094,0.128,0.777,0.475,0.219,0.4,0.109,0.038,0.257,0.502,0.498
Seq_118,0.182,0.091,0.727,0.227,0.455,0.379,0.03,0.091,0.091,0.182,0.727,0.485,0.258,0.333,0.136,0.03,0.227,0.485,0.515
Seq_119,0.133,0.125,0.741,0.253,0.453,0.374,0.065,0.087,0.125,0.133,0.741,0.451,0.234,0.374,0.125,0.069,0.246,0.463,0.537
Seq_120,0.14,0.101,0.76,0.156,0.578,0.534,0.151,0.05,0.101,0.14,0.76,0.497,0.316,0.341,0.078,0.028,0.318,0.592,0.408
Seq_121,0.132,0.122,0.746,0.213,0.511,0.466,0.078,0.053,0.122,0.132,0.746,0.473,0.231,0.399,0.126,0.032,0.278,0.537,0.463
Seq_122,0.177,0.152,0.671,0.177,0.456,0.354,0.0,0.076,0.152,0.177,0.671,0.456,0.215,0.342,0.139,0.051,0.152,0.342,0.658
Seq_123,0.14,0.148,0.712,0.154,0.529,0.469,0.045,0.058,0.148,0.14,0.712,0.517,0.215,0.352,0.097,0.027,0.234,0.511,0.489
Seq_124,0.19,0.111,0.7,0.195,0.458,0.373,0.035,0.07,0.111,0.19,0.7,0.493,0.271,0.327,0.12,0.035,0.166,0.434,0.566
Seq_125,0.115,0.135,0.75,0.281,0.415,0.369,0.06,0.061,0.135,0.115,0.75,0.455,0.228,0.417,0.183,0.033,0.219,0.53,0.47
Seq_126,0.161,0.126,0.713,0.231,0.455,0.434,0.035,0.021,0.126,0.161,0.713,0.49,0.224,0.385,0.14,0.021,0.182,0.413,0.587
Seq_127,0.15,0.127,0.723,0.227,0.459,0.409,0.023,0.086,0.127,0.15,0.723,0.468,0.209,0.364,0.127,0.023,0.186,0.436,0.564
Seq_128,0.111,0.09,0.799,0.309,0.437,0.371,0.076,0.072,0.09,0.111,0.799,0.448,0.24,0.407,0.201,0.053,0.293,0.57,0.43
Seq_129,0.101,0.092,0.807,0.193,0.597,0.559,0.118,0.04,0.092,0.101,0.807,0.553,0.236,0.36,0.13,0.017,0.363,0.614,0.386
Seq_130,0.167,0.056,0.777,0.296,0.442,0.381,0.108,0.065,0.056,0.167,0.777,0.46,0.314,0.375,0.21,0.054,0.305,0.591,0.409
Seq_131,0.218,0.103,0.678,0.213,0.408,0.362,0.023,0.08,0.103,0.218,0.678,0.374,0.299,0.362,0.103,0.029,0.195,0.443,0.557
Seq_132,0.158,0.146,0.696,0.158,0.47,0.393,0.028,0.065,0.146,0.158,0.696,0.482,0.255,0.308,0.081,0.045,0.142,0.449,0.551
Seq_133,0.133,0.102,0.765,0.245,0.439,0.357,0.02,0.061,0.102,0.133,0.765,0.449,0.235,0.357,0.102,0.061,0.143,0.469,0.531
Seq_134,0.118,0.076,0.805,0.255,0.482,0.401,0.069,0.074,0.076,0.118,0.805,0.491,0.255,0.36,0.164,0.051,0.266,0.569,0.431
Seq_135,0.165,0.123,0.712,0.178,0.479,0.401,0.029,0.094,0.123,0.165,0.712,0.449,0.249,0.346,0.108,0.022,0.19,0.429,0.571
Seq_136,0.126,0.092,0.782,0.27,0.48,0.435,0.135,0.057,0.092,0.126,0.782,0.455,0.292,0.41,0.168,0.047,0.308,0.602,0.398
Seq_137,0.203,0.078,0.719,0.234,0.438,0.328,0.055,0.102,0.078,0.203,0.719,0.562,0.305,0.25,0.117,0.094,0.172,0.477,0.523
Seq_138,0.127,0.083,0.79,0.216,0.54,0.497,0.127,0.083,0.083,0.127,0.79,0.531,0.287,0.293,0.096,0.028,0.309,0.577,0.423
Seq_139,0.152,0.118,0.73,0.21,0.479,0.409,0.054,0.077,0.118,0.152,0.73,0.479,0.246,0.362,0.102,0.034,0.197,0.463,0.537
Seq_140,0.141,0.112,0.748,0.267,0.432,0.351,0.049,0.101,0.112,0.141,0.748,0.468,0.238,0.371,0.153,0.029,0.178,0.447,0.553
Seq_141,0.143,0.141,0.717,0.232,0.453,0.364,0.05,0.091,0.141,0.143,0.717,0.483,0.224,0.358,0.129,0.053,0.192,0.444,0.556
Seq_142,0.127,0.127,0.746,0.353,0.347,0.287,0.051,0.077,0.127,0.127,0.746,0.393,0.225,0.475,0.218,0.029,0.231,0.515,0.485
Seq_143,0.172,0.139,0.689,0.113,0.529,0.454,0.038,0.071,0.139,0.172,0.689,0.483,0.256,0.303,0.076,0.029,0.214,0.437,0.563
Seq_144,0.16,0.129,0.712,0.252,0.41,0.355,0.056,0.066,0.129,0.16,0.712,0.429,0.265,0.388,0.164,0.035,0.249,0.522,0.478
Seq_145,0.251,0.26,0.488,0.13,0.34,0.26,0.06,0.084,0.26,0.251,0.488,0.326,0.33,0.395,0.074,0.042,0.205,0.423,0.577
Seq_146,0.172,0.118,0.71,0.226,0.462,0.43,0.022,0.086,0.118,0.172,0.71,0.473,0.215,0.333,0.097,0.011,0.151,0.366,0.634
Seq_147,0.174,0.133,0.692,0.164,0.487,0.41,0.01,0.077,0.133,0.174,0.692,0.472,0.226,0.318,0.062,0.041,0.159,0.39,0.61
Seq_148,0.169,0.108,0.723,0.181,0.478,0.386,0.088,0.088,0.108,0.169,0.723,0.51,0.321,0.305,0.137,0.028,0.197,0.51,0.49
Seq_149,0.153,0.144,0.703,0.168,0.475,0.381,0.045,0.129,0.144,0.153,0.703,0.446,0.257,0.342,0.084,0.015,0.173,0.441,0.559
Seq_150,0.177,0.111,0.712,0.189,0.507,0.461,0.125,0.03,0.111,0.177,0.712,0.491,0.318,0.349,0.118,0.062,0.287,0.545,0.455
Seq_151,0.126,0.082,0.792,0.222,0.553,0.507,0.17,0.058,0.082,0.126,0.792,0.521,0.312,0.367,0.145,0.033,0.307,0.6,0.4
Seq_152,0.105,0.087,0.809,0.296,0.456,0.394,0.114,0.045,0.087,0.105,0.809,0.462,0.276,0.422,0.199,0.043,0.254,0.588,0.412
Seq_153,0.194,0.129,0.677,0.211,0.441,0.388,0.031,0.07,0.129,0.194,0.677,0.447,0.25,0.354,0.138,0.034,0.247,0.449,0.551
Seq_154,0.163,0.122,0.715,0.247,0.407,0.369,0.074,0.035,0.122,0.163,0.715,0.442,0.298,0.391,0.199,0.019,0.253,0.583,0.417
Seq_155,0.134,0.125,0.74,0.233,0.493,0.412,0.081,0.087,0.125,0.134,0.74,0.475,0.23,0.376,0.14,0.039,0.266,0.484,0.516
Seq_156,0.111,0.08,0.809,0.268,0.519,0.478,0.105,0.051,0.08,0.111,0.809,0.557,0.239,0.373,0.175,0.032,0.277,0.561,0.439
Seq_157,0.186,0.14,0.674,0.24,0.391,0.319,0.047,0.081,0.14,0.186,0.674,0.421,0.276,0.386,0.164,0.038,0.226,0.479,0.521
Seq_158,0.141,0.106,0.754,0.178,0.54,0.45,0.111,0.088,0.106,0.141,0.754,0.533,0.286,0.314,0.106,0.048,0.279,0.588,0.412
Seq_159,0.128,0.059,0.814,0.253,0.537,0.471,0.149,0.066,0.059,0.128,0.814,0.545,0.301,0.319,0.162,0.053,0.306,0.617,0.383
Seq_160,0.162,0.066,0.773,0.237,0.485,0.419,0.081,0.04,0.066,0.162,0.773,0.51,0.293,0.318,0.146,0.091,0.364,0.591,0.409
Seq_161,0.168,0.117,0.715,0.22,0.449,0.36,0.047,0.136,0.117,0.168,0.715,0.439,0.262,0.336,0.131,0.023,0.238,0.486,0.514
Seq_162,0.165,0.131,0.705,0.169,0.494,0.384,0.051,0.118,0.131,0.165,0.705,0.502,0.257,0.295,0.072,0.021,0.127,0.333,0.667
Seq_163,0.156,0.149,0.695,0.227,0.446,0.379,0.048,0.1,0.149,0.156,0.695,0.465,0.227,0.364,0.126,0.019,0.193,0.45,0.55
Seq_164,0.128,0.128,0.744,0.148,0.576,0.507,0.054,0.059,0.128,0.128,0.744,0.547,0.202,0.33,0.084,0.034,0.241,0.478,0.522
Seq_165,0.121,0.109,0.77,0.188,0.552,0.497,0.061,0.079,0.109,0.121,0.77,0.515,0.212,0.37,0.115,0.018,0.267,0.527,0.473
Seq_166,0.184,0.163,0.652,0.152,0.479,0.415,0.049,0.109,0.163,0.184,0.652,0.454,0.256,0.315,0.07,0.018,0.17,0.398,0.602
Seq_167,0.19,0.161,0.649,0.154,0.476,0.409,0.045,0.112,0.161,0.19,0.649,0.458,0.254,0.319,0.072,0.019,0.173,0.418,0.582
